TS1,TS2
3.343,3.365
3.566,3.714
3.985,4.243
4.383,4.522
4.524,4.327
4.327,3.948
4.003,3.903
3.865,4.266
4.063,4.532
4.398,4.273
4.525,3.844
4.273,3.978
3.894,4.769
3.845,5.355
4.33,4.911
5.041,3.592
5.367,2.416
4.911,2.226
3.833,3.002
2.726,4.025
2.174,4.6
2.404,4.568
3.175,4.264
4.025,4.046
4.548,3.973
4.63,3.927
4.417,3.807
4.167,3.564
4.025,3.272
3.973,3.262
3.936,3.838
3.86,4.718
3.699,5.147
3.461,4.808
3.237,4.179
3.262,3.841
3.704,3.77
4.434,3.579
5.027,3.186
5.111,2.827
4.702,2.669
4.179,2.702
3.874,2.948
3.788,3.523
3.707,4.339
3.467,4.862
3.116,4.419
2.827,3.005
2.682,1.489
2.673,1.007
2.789,1.978
3.099,3.817
3.653,5.345
4.339,5.58
4.824,4.521
4.696,3.135
3.798,2.397
2.447,2.403
1.317,2.629
1.007,2.791
1.723,2.93
3.178,2.926
4.701,2.641
5.596,2.451
5.478,2.952
4.521,3.963
3.339,4.603
2.546,4.456
2.337,4.028
2.475,3.832
2.66,3.698
2.791,3.436
2.911,3.317
2.963,3.533
2.809,3.708
2.533,3.571
2.477,3.44
2.952,3.524
3.796,3.403
4.479,2.746
4.605,2.1
4.301,2.224
3.975,3.04
3.832,3.834
3.73,4.244
3.524,4.486
3.335,4.791
3.362,5.044
3.58,5.046
3.708,4.902
3.605,4.912
3.45,5.154
3.471,5.263
3.536,4.794
3.326,3.895
2.746,3.243
2.164,3.281
2.082,3.808
2.588,4.32
3.341,4.497
3.926,4.32
4.244,3.876
4.445,3.259
4.688,2.671
4.942,2.402
5.075,2.618
5.028,3.221
4.902,3.99
4.89,4.752
5.065,5.239
5.262,5.078
5.181,4.174
4.663,3.156
3.895,2.934
3.307,3.598
3.19,4.222
3.515,4.031
4.005,3.45
4.374,3.377
4.497,3.792
4.371,3.852
4.049,3.282
3.58,2.79
3.043,3.034
2.593,3.772
2.402,4.424
2.551,4.86
2.991,5.192
3.596,5.278
4.253,4.898
4.86,4.171
5.239,3.43
5.161,2.885
4.531,2.651
3.613,2.879
2.967,3.519
3.003,4.213
3.598,4.561
4.165,4.399
4.181,3.893
3.725,3.463
3.348,3.513
3.428,4
3.792,4.422
3.894,4.427
3.513,4.233
2.965,4.256
2.785,4.559
3.139,4.884
3.772,5.031
4.335,4.99
4.728,4.821
5.043,4.544
5.258,4.231
5.246,3.957
4.898,3.792
4.305,3.757
3.662,3.818
3.122,3.918
2.761,3.894
2.661,3.536
2.879,2.927
3.395,2.404
4.006,2.231
4.447,2.285
4.557,2.406
4.33,2.657
3.893,3.23
3.506,4.008
3.433,4.565
3.727,4.684
4.179,4.676
4.454,5.016
4.427,5.665
4.258,6.028
4.209,5.719
4.389,4.922
4.68,4.155
4.92,3.811
5.031,3.979
5.005,4.381
4.883,4.493
4.696,4.063
4.446,3.497
4.178,3.33
3.957,3.494
3.814,3.501
3.755,3.311
3.771,3.457
3.846,4.165
3.932,4.848
3.894,4.766
3.623,3.935
3.142,3.004
2.633,2.54
2.316,2.69
2.231,3.266
2.285,3.91
2.383,4.117
2.549,3.706
2.9,3.146
3.484,3.073
4.125,3.518
4.565,3.896
4.688,3.712
4.66,3.041
4.792,2.457
5.224,2.511
5.756,3.272
6.028,4.217
5.813,4.645
5.208,4.375
4.504,3.843
3.977,3.602
3.804,3.79
3.979,4.078
4.322,4.181
4.516,4.136
4.329,4.123
3.854,4.048
3.436,3.576
3.33,2.669
3.463,1.892
3.53,2.001
3.4,3.01
3.296,4.082
3.547,4.384
4.165,4.021
4.772,3.756
4.9,3.918
4.408,4.116
3.599,4.044
2.882,3.958
2.54,4.2
2.625,4.607
3.043,4.672
3.617,4.233
4.048,3.688
4.084,3.557
3.706,3.906
3.221,4.294
3.027,4.345
3.26,4.194
