TS1,TS2
4.403,3.343
4.433,3.365
4.458,3.402
4.484,3.447
4.5,3.501
4.513,3.566
4.524,3.635
4.526,3.714
4.525,3.8
4.518,3.892
4.507,3.985
4.486,4.069
4.471,4.161
4.451,4.243
4.422,4.32
4.393,4.383
4.359,4.438
4.322,4.483
4.286,4.508
4.243,4.522
4.198,4.524
4.156,4.507
4.111,4.48
4.066,4.436
4.018,4.388
3.975,4.327
3.927,4.264
3.882,4.195
3.841,4.13
3.801,4.06
3.764,4.003
3.725,3.948
3.689,3.905
3.663,3.882
3.635,3.866
3.609,3.865
3.587,3.874
3.574,3.903
3.555,3.943
3.544,3.995
3.546,4.063
3.537,4.125
3.535,4.196
3.542,4.266
3.544,4.332
3.56,4.398
3.571,4.449
3.589,4.49
3.606,4.518
3.629,4.532
3.645,4.525
3.67,4.497
3.698,4.463
3.729,4.411
3.753,4.344
3.781,4.273
3.813,4.192
3.841,4.107
3.869,4.029
3.902,3.957
3.928,3.894
3.954,3.844
3.98,3.814
4.006,3.803
4.027,3.811
4.049,3.845
4.07,3.9
4.094,3.978
4.109,4.079
4.125,4.195
4.14,4.33
4.151,4.468
4.162,4.617
4.175,4.769
4.186,4.909
4.196,5.041
4.198,5.154
4.205,5.249
4.209,5.314
4.218,5.355
4.221,5.367
4.227,5.339
4.23,5.282
4.235,5.186
4.245,5.067
4.248,4.911
4.253,4.729
4.259,4.525
4.274,4.308
4.278,4.075
4.289,3.833
4.297,3.592
4.31,3.356
4.323,3.13
4.339,2.922
4.351,2.726
4.366,2.561
4.377,2.416
4.394,2.306
4.411,2.224
4.428,2.174
4.443,2.164
4.46,2.18
4.472,2.226
4.488,2.302
4.499,2.404
4.51,2.53
4.521,2.671
4.525,2.829
4.533,3.002
4.533,3.175
4.536,3.36
4.531,3.536
4.52,3.706
4.518,3.875
4.5,4.025
4.489,4.165
4.47,4.291
4.448,4.393
4.423,4.487
4.389,4.548
4.357,4.6
4.324,4.638
4.286,4.648
4.245,4.647
4.202,4.63
4.155,4.606
4.106,4.568
4.056,4.524
4.009,4.479
3.955,4.417
3.904,4.367
3.85,4.311
3.802,4.264
3.747,4.215
3.698,4.167
3.651,4.129
3.602,4.094
3.558,4.064
3.524,4.046
3.482,4.025
3.442,4.011
3.413,3.999
3.383,3.985
3.363,3.981
3.345,3.973
3.331,3.967
3.321,3.961
3.319,3.956
3.318,3.947
3.323,3.936
3.334,3.927
3.349,3.915
3.367,3.897
3.387,3.877
3.42,3.86
3.451,3.838
3.481,3.807
3.518,3.775
3.559,3.743
3.598,3.699
3.641,3.658
3.689,3.616
3.736,3.564
3.782,3.514
3.827,3.461
3.872,3.41
3.921,3.363
3.963,3.319
4,3.272
4.043,3.237
4.077,3.213
4.117,3.205
4.144,3.21
4.173,3.225
4.198,3.262
4.216,3.314
4.233,3.39
4.244,3.477
4.252,3.583
4.253,3.704
4.251,3.838
4.245,3.981
4.236,4.132
4.225,4.283
4.205,4.434
4.188,4.579
4.166,4.718
4.138,4.838
4.107,4.94
4.075,5.027
4.045,5.088
4.01,5.128
3.976,5.147
3.937,5.137
3.905,5.111
3.868,5.058
3.828,4.986
3.795,4.904
3.767,4.808
3.731,4.702
3.704,4.59
3.677,4.478
3.658,4.379
3.637,4.272
3.618,4.179
3.608,4.097
3.596,4.02
3.588,3.961
3.59,3.909
3.589,3.874
3.591,3.841
3.612,3.823
3.623,3.808
3.64,3.797
3.661,3.788
3.69,3.78
3.718,3.77
3.749,3.754
3.791,3.734
3.82,3.707
3.861,3.669
3.906,3.634
3.949,3.579
3.997,3.525
4.042,3.467
4.089,3.4
4.134,3.332
4.177,3.261
4.223,3.186
4.267,3.116
4.315,3.053
4.356,2.989
4.391,2.932
4.429,2.877
4.459,2.827
4.488,2.784
4.516,2.749
4.538,2.719
4.554,2.696
4.568,2.682
4.577,2.669
4.58,2.661
4.578,2.66
4.574,2.668
4.564,2.673
4.551,2.684
4.528,2.702
4.501,2.726
4.472,2.753
4.433,2.789
4.398,2.835
4.356,2.886
4.306,2.948
4.253,3.016
4.197,3.099
4.136,3.187
4.08,3.291
4.017,3.398
3.953,3.523
3.885,3.653
3.815,3.788
3.746,3.924
3.679,4.063
3.61,4.205
3.542,4.339
3.475,4.466
3.419,4.588
3.349,4.685
3.287,4.765
3.231,4.824
3.182,4.862
3.128,4.863
3.089,4.842
3.046,4.784
3.013,4.696
2.98,4.574
2.958,4.419
2.938,4.237
2.925,4.031
2.917,3.798
2.912,3.546
2.913,3.28
2.923,3.005
2.934,2.728
2.951,2.447
2.973,2.18
3.001,1.931
3.035,1.702
