access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,mode
write,1629.1723,1636.5222,0.0006,16384.0000,1024.0000,0.0000,0.0098,0.0000,0.0098,1,0,none
read,10037.2217,10074.8933,0.0001,16384.0000,1024.0000,0.0000,0.0016,0.0000,0.0016,1,0,none
write,1658.7292,1663.2101,0.0006,16384.0000,1024.0000,0.0000,0.0096,0.0000,0.0096,1,1,none
read,10082.4615,10126.5828,0.0001,16384.0000,1024.0000,0.0000,0.0016,0.0000,0.0016,1,1,none
write,1699.9484,1704.4820,0.0006,16384.0000,1024.0000,0.0000,0.0094,0.0000,0.0094,1,2,none
read,13768.7452,13831.1756,0.0001,16384.0000,1024.0000,0.0000,0.0012,0.0000,0.0012,1,2,none
write,1741.9562,1745.7627,0.0006,16384.0000,1024.0000,0.0000,0.0092,0.0000,0.0092,1,3,none
read,15581.3476,15654.0387,0.0001,16384.0000,1024.0000,0.0000,0.0010,0.0000,0.0010,1,3,none
write,1746.8988,1750.3616,0.0006,16384.0000,1024.0000,0.0000,0.0091,0.0000,0.0092,1,4,none
read,15210.5313,15265.8926,0.0001,16384.0000,1024.0000,0.0000,0.0010,0.0000,0.0011,1,4,none
write,508.0310,231409.8759,0.0000,64.0000,4.0000,0.0001,0.0001,0.0000,0.0001,1,0,none
read,2730.6667,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,0,none
write,894.6894,290514.5628,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,1,none
read,2849.3913,894784.8533,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,1,none
write,932.8968,302292.1802,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,2,none
read,2818.7527,849479.2911,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,2,none
write,932.8968,302292.1802,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,3,none
read,2849.3913,849479.2911,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,3,none
write,949.7971,302292.1802,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,4,none
read,2849.3913,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,4,none
write,1618.7974,1623.6932,0.0006,16384.0000,1024.0000,0.0000,0.0099,0.0000,0.0099,1,0,profile
read,12067.7691,12120.0766,0.0001,16384.0000,1024.0000,0.0000,0.0013,0.0000,0.0013,1,0,profile
write,1764.2585,1768.1166,0.0006,16384.0000,1024.0000,0.0000,0.0090,0.0000,0.0091,1,1,profile
read,15053.5810,15107.8037,0.0001,16384.0000,1024.0000,0.0000,0.0011,0.0000,0.0011,1,1,profile
write,1773.8651,1777.7653,0.0006,16384.0000,1024.0000,0.0000,0.0090,0.0000,0.0090,1,2,profile
read,14856.9546,14939.6402,0.0001,16384.0000,1024.0000,0.0000,0.0011,0.0000,0.0011,1,2,profile
write,1769.1420,1773.2089,0.0006,16384.0000,1024.0000,0.0000,0.0090,0.0000,0.0090,1,3,profile
read,13698.4821,13757.4547,0.0001,16384.0000,1024.0000,0.0000,0.0012,0.0000,0.0012,1,3,profile
write,1737.0416,1741.2331,0.0006,16384.0000,1024.0000,0.0000,0.0092,0.0000,0.0092,1,4,profile
read,14814.3188,14886.6158,0.0001,16384.0000,1024.0000,0.0000,0.0011,0.0000,0.0011,1,4,profile
write,672.1641,245820.0147,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,0,profile
read,2702.5155,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,0,profile
write,907.0727,295633.7621,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,1,profile
read,2730.6667,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,1,profile
