galaxy,ra,dec
15,210.927048,-1.137346
254,211.020782,0.998166
368,209.399231,-0.143221
1432,131.115585,51.447163
2053,229.601944,32.742622
4578,176.255005,14.47608
6809,212.720978,1.369397
11563,174.978165,3.054553
12345,205.853745,12.518266
15248,201.117096,18.23148
15420,194.252426,49.074078
18520,232.43869,27.118929
20763,192.414612,12.625293
23654,140.026764,47.221436
23658,181.49881,10.360068
28650,179.265366,21.407429
32874,177.717056,4.518072
42136,190.907364,17.933109
45125,134.666763,49.30088
46302,148.82164,24.927872
52413,192.979187,26.558268
54852,233.504868,29.229906
63246,169.911362,44.340736
65321,219.951035,41.046577
76469,168.293427,39.167614
79852,238.548569,21.56811
87502,140.757462,51.277439
91645,182.419159,48.642597
98652,142.558029,46.853474
100000,227.259003,24.918394
