Word,Frequency,Category
netah,1260,tense_aspect
pi,1249,unknown
m’thein,1242,unknown
Nang,1240,pronoun
yah,1219,unknown
lam,1205,noun
kyong,1192,unknown
gah,1180,unknown
khawihnah,1162,unknown
hei,1154,unknown
taigü,1112,noun
ngaih,1105,unknown
hmawk,1071,unknown
pakhui,1023,unknown
yum,1021,verb
hnumi,1018,unknown
van,1010,unknown
ngai,1008,unknown
Shin,989,unknown
hning,968,unknown
Nangmi,961,unknown
David,956,unknown
ng’yak,909,unknown
amät,883,unknown
läk,876,verb
Jerusalem,863,unknown
hmu,857,verb
thukhän,852,unknown
Na,845,verb
aw,834,unknown
cicu,832,unknown
pha,831,unknown
ät,830,unknown
sä,824,unknown
bäng,824,unknown
Judah,824,unknown
hlawt,823,unknown
Moses,818,unknown
ghing,812,unknown
katnak,808,unknown
päng,807,unknown
douthak,805,unknown
acun,792,unknown
kaa,787,unknown
ng’tuk,787,unknown
aih,780,unknown
thu,772,unknown
m’lung,771,unknown
ghin,765,verb
m’hni,761,unknown
hmuk,756,unknown
Taigüim,751,unknown
bawi,750,unknown
sih,736,verb
man,729,unknown
Egypt,727,unknown
yawp,724,unknown
pei,713,unknown
Ghangpughang,713,unknown
hmun,708,unknown
khü,707,unknown
uk,699,noun
kut,693,noun
hmuh,683,unknown
tha,681,unknown
sui,675,unknown
lung,675,unknown
ming,664,noun
ng’ya,658,unknown
gakap,650,unknown
tüi,640,verb
pyang,639,unknown
“Kei,639,unknown
sing,636,unknown
thumkhän,625,unknown
hnu,622,unknown
yeikyai,616,unknown
Ka,613,unknown
mei,613,unknown
gha,607,unknown
bä,603,unknown
khin,601,unknown
khanpughi,598,unknown
akda,595,unknown
en,593,unknown
pyan,590,unknown
khomdek,588,noun
keimi,588,pronoun
changshäm,578,unknown
gawnu,573,unknown
thum,566,unknown
akcang,566,unknown
Bawi,563,unknown
chu,547,unknown
m’di,544,unknown
tuinu,542,noun
nawng,535,unknown
hun,534,unknown
m’htei,528,unknown
huham,528,unknown
hnih,527,unknown
khäm,526,unknown
teng,524,unknown
ana,522,unknown
tuhbäi,521,unknown
Ami,520,unknown
näng,517,unknown
Nami,517,pronoun
ga,514,unknown
dawng,513,unknown
m’kyuk,509,unknown
ngawi,507,unknown
nau,503,unknown
khui,502,unknown
angtäi,493,unknown
sik,492,unknown
lut,488,unknown
ng’düi,487,unknown
dang,480,unknown
cha,478,unknown
m’kawt,478,unknown
khankho,476,unknown
si,474,unknown
kyih,472,unknown
Acun,469,unknown
chih,464,unknown
khüt,464,unknown
ngui,464,unknown
thei,462,unknown
kum,460,unknown
düihpüi,453,noun
Khrit,452,unknown
ap,449,unknown
lei,448,unknown
shüm,448,unknown
ng’vai,448,unknown
hlük,448,unknown
be,446,unknown
hma,444,unknown
m’khih,442,unknown
mä,441,unknown
htome,440,unknown
mikmi,436,pronoun
khawh,435,unknown
akni,433,unknown
ghui,431,unknown
m’dek,429,unknown
guk,428,verb
yei,427,unknown
pum,427,unknown
ngäng,426,unknown
düng,424,unknown
m’lau,420,unknown
pami,419,unknown
ng’shi,417,unknown
ghü,417,unknown
k’bäi,413,unknown
ca,413,noun
hmaw,412,unknown
hnungtuk,406,unknown
uknak,405,unknown
abi,405,unknown
mah,404,unknown
co,404,unknown
amshah,403,unknown
m’lungshe,403,unknown
“Shin,402,unknown
ge,398,unknown
nam,397,unknown
hlüngtai,394,unknown
thüi,393,unknown
phia,391,unknown
güt,384,unknown
htei,384,verb
peit,384,unknown
“Nang,381,unknown
khäta,377,unknown
awk,377,unknown
“A,370,unknown
sapyit,359,unknown
akshe,358,unknown
sonkiang,357,unknown
Saul,357,unknown
m’dang,354,unknown
yuk,353,unknown
tün,353,unknown
phli,352,unknown
nu,350,unknown
dou,350,verb
ng’shon,348,unknown
m’cäi,348,unknown
pa,347,unknown
“,345,unknown
Jakob,345,unknown
ta,345,unknown
uktu,344,unknown
bum,342,unknown
pupa,342,unknown
m’htut,339,unknown
pawng,337,unknown
Tuhbäi,333,unknown
prophet,333,unknown
lak,332,unknown
theing,330,unknown
bekhüt,330,unknown
nü,329,unknown
yung,329,noun
maih,329,unknown
kai,328,verb
ng’lung,324,unknown
—,320,unknown
shui,319,verb
shaitak,316,unknown
khai”,313,unknown
gup,313,unknown
Kä,309,postposition
m’gein,308,unknown
bii,306,unknown
ui,305,noun
Aaron,305,unknown
shüt,302,unknown
htük,300,unknown
pigaw,300,unknown
Levit,300,unknown
ci”,299,unknown
Keimi,298,pronoun
phäi,297,unknown
Mumcha,296,divine_noun
cheishoh,296,unknown
cawh,294,unknown
theingcim,293,unknown
pang,293,unknown
pumsa,292,unknown
htang,292,unknown
mik,289,unknown
chuih,288,unknown
khätah,284,unknown
k’täm,283,unknown
k’pang,283,unknown
gai,282,unknown
ng’shik,279,unknown
Abraham,279,unknown
hlawk,279,unknown
bilawh,279,unknown
theingthap,279,unknown
kyum,276,unknown
geit,274,unknown
khei,274,unknown
ng’äi,274,unknown
akhin,273,unknown
tak,273,unknown
shum,273,unknown
m’htung,272,unknown
Solomon,272,unknown
mü,271,unknown
hni,270,verb
yaica,270,unknown
Ak,269,unknown
bäi,269,unknown
cäi,269,unknown
khopäng,269,unknown
htangshon,268,unknown
tho,268,unknown
she,266,unknown
Jew,264,unknown
m’gäi,263,unknown
Paul,262,unknown
te,260,unknown
ng’hlat,259,unknown
ih,258,unknown
hmai,257,unknown
kyap,257,unknown
Ang,256,unknown
hriham,254,unknown
m’hnüt,253,unknown
hnim,250,unknown
ng’shäu,250,unknown
nik,249,unknown
ng’pyi,249,unknown
phu,247,unknown
“Ka,247,unknown
tüih,247,unknown
“Cun,245,unknown
“Na,243,unknown
ghit,243,unknown
aa,238,unknown
luh,238,unknown
cüivai,236,unknown
k’tha,236,unknown
bämang,236,noun
hmuhmat,236,unknown
pahta,235,unknown
kawt,234,unknown
ng’bum,232,unknown
Phung,232,unknown
pawi,230,unknown
dämduh,229,unknown
hnün,228,unknown
O,228,unknown
m’hlüngtai,227,unknown
gu,227,unknown
ä”,226,unknown
sang,225,unknown
ng’se,225,unknown
da,224,unknown
Joshua,224,unknown
lä,223,unknown
Taigü,222,noun
läi,221,unknown
kat,221,unknown
cäicat,221,unknown
Htapa,220,noun
shetkat,218,unknown
m’theithang,217,unknown
apa,216,unknown
phyawn,216,unknown
thein,216,unknown
m’taam,216,unknown
chah,215,unknown
api,215,unknown
düt,215,unknown
tä,214,unknown
gui-am,214,unknown
ng’düm,212,unknown
lo,212,verb
atäng,211,unknown
ahei,211,unknown
Peter,211,unknown
däm,210,unknown
tuba,210,unknown
tung,209,unknown
Philistin,208,unknown
m’shang,207,unknown
ngaih-tüh,206,unknown
kiak,206,unknown
Joseph,206,unknown
cawi,205,unknown
shi,205,unknown
khomhtung,205,unknown
hnga,205,unknown
di,205,unknown
“Nangmi,204,unknown
thawh,202,verb
Babilonia,201,unknown
tah,201,unknown
chuk,199,unknown
Jordan,199,unknown
phyawng,199,unknown
ng’düng,198,unknown
baw,198,unknown
Mikmi,198,pronoun
hawi,196,unknown
k’aw,196,unknown
kha,193,unknown
shou,193,unknown
phak,192,verb
Thukhän,190,unknown
thawng,190,unknown
m’cu,189,unknown
neh,188,unknown
lu,187,unknown
vei,186,unknown
phiawn,186,unknown
vah,185,unknown
changpakhui,185,unknown
yak,184,unknown
maa,183,unknown
ng’ui,180,unknown
’,180,unknown
bühmang,179,unknown
shai,178,unknown
hlüng,178,unknown
k’thäh,178,unknown
Thu,178,divine_noun
nah,177,unknown
me,177,unknown
m’cümhnah,177,unknown
kaw,175,unknown
m’tam,175,unknown
m’ku,174,unknown
“Chang,173,unknown
shungvong,173,unknown
thuuk,172,unknown
m’sui,172,unknown
Theing,172,unknown
hman,171,unknown
gung,171,unknown
k’pawih,169,unknown
küm,167,unknown
changshe,167,unknown
Johan,167,unknown
va,166,unknown
Khomdek,165,noun
kyom,165,unknown
shedam,165,unknown
m’si,165,unknown
Ni,165,unknown
bung,164,unknown
m’tamkhah,163,unknown
mümcha,162,unknown
kawng,162,unknown
seime,161,unknown
shung,161,unknown
khoshe,159,unknown
khah,158,unknown
thai,157,noun
tawn,157,unknown
shüi,157,unknown
kam,156,unknown
bäih,155,unknown
cang,155,unknown
tum,154,unknown
geinvai,153,unknown
mat,152,unknown
küikyang,152,unknown
khüikha,152,unknown
khäng,152,unknown
thäh,152,unknown
cei,151,unknown
hmüp,150,unknown
m’khüt,150,unknown
ng’ä,150,unknown
akyong,149,unknown
tai,149,unknown
gaa,147,unknown
ng’hlah,147,unknown
khokum,147,unknown
vang,146,unknown
hawkcha,146,unknown
Khankho,146,unknown
kümbe,146,unknown
“Khanpughi,145,unknown
khanchang,145,unknown
ling,145,unknown
ngok,145,unknown
dimdeeih,145,unknown
ip,144,verb
vantang,144,unknown
M’küm,144,unknown
anu,143,unknown
paw,142,unknown
saksi,142,unknown
kyei,141,unknown
Benjamin,141,unknown
pikbäih,140,unknown
theih,140,unknown
Mi,140,unknown
m’hnih,140,unknown
sü,139,unknown
ama,139,unknown
chimgein,139,unknown
yu,138,unknown
sa,138,unknown
thagui,138,unknown
Mang,138,unknown
akdei,137,noun
ng’aa,137,unknown
lai,137,unknown
shäng,137,unknown
m’shet,137,unknown
Moab,137,unknown
m’shüm,137,unknown
Kho,137,noun
nong,136,unknown
ai,136,unknown
gep,136,unknown
teihpüi,135,unknown
yatha,135,unknown
Joab,135,unknown
khisa,134,unknown
Manasseh,134,unknown
guh,133,unknown
shekha,133,unknown
hleei,133,unknown
kia,133,unknown
taga,133,unknown
ngoh,131,unknown
lüng,130,unknown
gein,130,unknown
leigai,129,unknown
Kapa,129,unknown
Elisha,129,unknown
ng’pai,128,unknown
phuh,128,unknown
pui,128,unknown
hang,126,unknown
hnun,126,unknown
Kami,126,unknown
ken,126,unknown
akhan,126,unknown
kyihkyawk,126,unknown
Khaw,125,unknown
kip,125,unknown
ng’shawng,125,unknown
situi,125,unknown
gei,124,unknown
akpung,123,unknown
taih,123,unknown
siiptäng,123,unknown
khän,123,unknown
kyang,123,unknown
hleih,122,unknown
khim,122,unknown
khit,122,unknown
Uktu,122,unknown
m’hteihtang,121,unknown
Edom,121,unknown
kyah,121,unknown
ng’täi,121,unknown
m’thei,121,unknown
Ahab,121,unknown
ng’lak,120,unknown
shäm,120,unknown
aktung,120,unknown
vai”,119,unknown
kawp,119,unknown
pit,119,unknown
thang,118,unknown
vä”,118,unknown
nawi,118,unknown
m’düih,117,unknown
khokhi,117,unknown
shawi,117,unknown
päipih,117,unknown
ng’tüi,116,unknown
amawng,116,unknown
Samaria,116,unknown
nüng,116,unknown
kyi,115,unknown
Isaak,115,unknown
“Israel,115,unknown
ng’ap,115,unknown
suinu,114,unknown
sangung,114,unknown
tüisho,113,verb
k’ni,113,unknown
khap,113,unknown
khi,113,unknown
cung,112,unknown
chü,112,unknown
m’vut,111,unknown
vaisü,111,unknown
suisak,111,unknown
htinpaw,110,unknown
geing,110,unknown
düm,110,unknown
pawih,110,unknown
m’geinsei,110,unknown
cacim,110,unknown
Khrih,110,unknown
k’caw,109,unknown
“Ani,109,unknown
Hezekiah,109,unknown
m’shi,108,unknown
saya,108,unknown
hlawi,108,unknown
Jonathan,108,unknown
akholä,107,unknown
khu,106,unknown
bawk,106,unknown
tuh,106,unknown
akhei,106,unknown
thung,106,unknown
Kanaan,105,unknown
seipat,105,unknown
thungyo,105,unknown
Kilead,105,unknown
ng’shei,105,unknown
Elijah,105,unknown
plah,104,unknown
ng’yän,104,unknown
ng’cim,104,unknown
kiang,103,unknown
Hnüüp,103,unknown
Tuinu,103,noun
Zion,103,unknown
m’kat,102,unknown
shaitaak,102,unknown
ghi,102,unknown
Ephraim,102,unknown
dukhaih,102,unknown
nani,101,unknown
“Tuhbäi,101,unknown
lah,101,unknown
ng’et,101,unknown
thüisei,101,unknown
htapa,100,noun
ngo,100,unknown
lawh,100,unknown
Pa,100,unknown
Samuel,100,unknown
yä,99,unknown
gawt,99,unknown
phat,99,unknown
agup,99,unknown
chawng,98,unknown
Hnumi,97,unknown
chum,97,unknown
ng’htau,97,unknown
M’gäi,97,unknown
Absalom,97,unknown
koi,96,unknown
thak,96,unknown
Jeroboam,96,unknown
aisi,95,unknown
Babilon,95,unknown
gaih,95,unknown
phuih,95,unknown
gook,95,unknown
alu,95,unknown
shemshai,95,unknown
Nebukhadnezzar,95,unknown
m’khoichaa,94,unknown
hmoh,94,unknown
tuhngawi,94,unknown
shaum,94,unknown
profet,94,noun
pai,93,unknown
cham,93,unknown
acu,93,unknown
m’bei,92,unknown
“Nami,92,unknown
vai-am,92,unknown
hnicim,91,unknown
kawh,91,unknown
ng’dang,90,unknown
ng’thumcha,90,unknown
ng’büh,90,unknown
ng’cum,90,unknown
khähghah,90,unknown
Ngani,89,unknown
mühun,89,unknown
awi,89,unknown
taigüpa,89,unknown
“Keimi,89,unknown
mak,89,unknown
heng,89,unknown
Kalile,89,unknown
name,89,unknown
ngani,88,unknown
thui,88,unknown
khli,88,unknown
gen,88,unknown
ban,88,unknown
khüi,88,unknown
dei,87,unknown
taam,87,unknown
cau,87,unknown
gabawi,87,unknown
ng’thei,87,unknown
nga,86,noun
cheit,86,unknown
Esau,86,unknown
m’khäh,86,unknown
nat,86,unknown
Am,86,postposition
käcung,86,unknown
ng’yu,86,unknown
k’täi,85,unknown
shah,85,unknown
tawk,85,unknown
paang,85,unknown
sä”,84,unknown
m’theih,84,unknown
khawkum,84,unknown
aming,84,unknown
lü,84,unknown
htumtäng,84,unknown
kyikyawk,84,unknown
Amorit,83,unknown
vangtäng,83,unknown
k’am,83,unknown
akum,83,unknown
dishum,83,unknown
amik,82,unknown
khih,82,unknown
metre,82,unknown
Assiria,81,unknown
m’küm,81,unknown
pung,81,unknown
m’dauh,81,unknown
akdäm,81,unknown
bawm,81,unknown
“Hnicim,81,unknown
“Kä,80,unknown
shon,80,unknown
shawk,80,unknown
m’khoi,80,unknown
ng’shü,80,unknown
thamah,80,unknown
htek,80,unknown
khang,79,verb
yavaih,79,unknown
tängpang,79,unknown
akbe,79,unknown
khuut,79,unknown
long,78,unknown
ng’thup,78,unknown
bungpuk,78,noun
nüt,78,unknown
Cacim,78,unknown
ng’dawn,77,unknown
li,77,unknown
taak,77,unknown
gäk,77,unknown
leng,77,unknown
M’htung,77,unknown
meh,76,unknown
mätyah,76,unknown
den,76,unknown
vun,76,unknown
Changshe,76,unknown
chaa,75,unknown
theithang,75,unknown
shet,75,unknown
khawk,75,unknown
veing,75,unknown
Baala,75,unknown
neim,74,unknown
Cüivai,74,unknown
angvai,73,unknown
thüng,73,unknown
Jehoshaphat,73,unknown
chaam,72,unknown
Hebron,72,unknown
sumlei,72,unknown
gut,72,unknown
khüm,72,unknown
Reuben,72,unknown
yoih,72,unknown
m’gawng,72,unknown
Düng,72,unknown
thumkip,71,unknown
Tui,71,noun
chaw,71,unknown
ding,71,unknown
hnü,71,unknown
ng’düih,71,unknown
yih,71,unknown
lang,71,unknown
k’paang,71,unknown
kyongchang,71,unknown
Beth,71,unknown
Simon,71,unknown
küi,70,unknown
gäi,70,unknown
kapa,70,unknown
sho,70,unknown
m’la,70,unknown
gim,70,unknown
kiangtäng,70,unknown
akthai,70,unknown
Eleazar,70,unknown
m’shümthein,70,unknown
Siria,70,unknown
Mari,70,unknown
khritha,70,unknown
k’be,69,unknown
phongkawng,69,unknown
Sirian,69,unknown
Jehu,69,unknown
Zedekiah,69,unknown
Messiah,69,divine_noun
khomik,68,unknown
m’hleei,68,unknown
ng’ge,68,unknown
hmeinu,68,unknown
ng’lat,68,unknown
000,68,unknown
Josiah,68,unknown
Pilat,68,unknown
akchu,67,unknown
hmakip,67,unknown
düih,67,unknown
htung,67,noun
täi,67,unknown
kholä,67,unknown
k’thamah,67,unknown
kiasei,67,unknown
Ngahmi,67,unknown
Bethela,66,unknown
muimang,66,unknown
kaan,66,unknown
khawpäng,66,unknown
Balaam,66,unknown
kan,66,unknown
khä,66,unknown
phlikip,65,unknown
omktu,65,unknown
Ammon,65,unknown
han,65,unknown
htum,65,unknown
yoi,65,unknown
m’shan,65,unknown
ca-uk,65,unknown
khong,65,unknown
khiküi,65,unknown
mingthang,64,unknown
khaai,64,unknown
k’pai,64,unknown
k’pan,64,unknown
khüighat,64,unknown
Amät,64,unknown
ng’yii,64,unknown
valuh,64,unknown
lukhu,64,unknown
Jerikho,64,unknown
akyak,64,unknown
Kideon,64,unknown
müi,63,unknown
gui”,63,unknown
pyü,63,unknown
Kad,63,unknown
asi,63,unknown
m’nüm,63,unknown
laih,63,unknown
kyu,63,unknown
m’tumtäng,63,unknown
guttep,63,unknown
käm,63,unknown
phya,62,unknown
lawng,62,unknown
Acu,62,unknown
Apa,62,unknown
m’thawng,62,unknown
tawi,62,unknown
hrilham,62,unknown
m’hlan,62,unknown
khak,62,unknown
asih,62,unknown
thau,62,unknown
yihdung,62,unknown
m’hnuh,61,unknown
hleeihlak,61,unknown
Laban,61,unknown
m’neh,61,unknown
bilo,61,unknown
ng’hlet,61,unknown
vawi,61,unknown
ng’mei,61,unknown
nawt,61,unknown
kyin,61,unknown
Assirian,61,unknown
awt,60,unknown
kem,60,unknown
tam,60,unknown
ng’shä,60,unknown
tei,60,unknown
vook,60,unknown
m’hlawt,60,unknown
that,60,verb
anau,59,unknown
Tumat,59,unknown
k’phiawn,59,unknown
m’guk,59,unknown
ghawt,59,unknown
m’ca,59,unknown
Asa,59,unknown
thukbäi,59,unknown
Joba,59,unknown
k’she,58,unknown
Abram,58,unknown
k’pung,58,unknown
um,58,unknown
Im,58,unknown
ng’yung,58,unknown
avang,58,unknown
Babilonian,58,unknown
pyii,58,unknown
Mordekai,58,unknown
ng’lei,57,unknown
shawng,57,unknown
ng’vaihta,57,unknown
ng’khü,57,unknown
hnget,57,unknown
aka,57,unknown
phyungheng,57,unknown
teih,57,unknown
Hmun,57,unknown
amü,56,unknown
Shekhem,56,unknown
hngaw,56,unknown
ng’yoi,56,unknown
Abimelek,56,unknown
adüm,56,unknown
mu,56,unknown
leim,56,unknown
akit,56,unknown
tüihtok,56,unknown
lelawi,56,unknown
Herod,56,unknown
Euphratis,55,unknown
awktat,55,unknown
dawn,55,unknown
akchang,55,unknown
kyuk,55,unknown
