Word,Frequency,Category
ah,83078,postposition
gui,49209,unknown
ci,46113,tense_aspect
cu,41714,unknown
naw,31135,postposition
ung,25542,postposition
a,20894,unknown
nak,19522,tense_aspect
ne,18738,tense_aspect
khai,15059,tense_aspect
ka,13565,unknown
vai,13175,postposition
na,13051,verb
chang,11926,noun
kä,11747,postposition
ciah,10305,unknown
kyak,10282,unknown
nei,9072,unknown
ami,8908,unknown
la,8391,unknown
Cun,8369,unknown
Bawipa,8310,divine_noun
nami,8146,pronoun
phi,7896,unknown
om,7859,verb
law,6531,verb
ba,5913,unknown
cun,5629,unknown
kei,5589,pronoun
u,5465,unknown
awn,5298,postposition
ang,5156,unknown
Khanpughi,4867,divine_noun
ani,4695,pronoun
ning,4560,unknown
am,4097,postposition
hta,3922,noun
i,3875,unknown
sak,3614,unknown
avan,3601,unknown
Ani,3518,pronoun
püi,3461,unknown
sei,3452,tense_aspect
mäih,3412,unknown
bi,3410,unknown
khaw,3281,unknown
kyasei,3256,unknown
lawk,3131,unknown
pyen,3115,unknown
Kei,2712,pronoun
nang,2671,pronoun
”,2567,unknown
kawn,2482,unknown
khan,2473,unknown
ngami,2429,pronoun
hteit,2355,verb
ak,2353,unknown
Israel,2319,unknown
neta,2281,unknown
mang,2279,unknown
A,2264,unknown
Ngami,2263,pronoun
ungka,2234,unknown
ghangpughang,2201,unknown
tumat,2165,unknown
mi,2131,unknown
kya,2049,unknown
cik,2031,unknown
tu,1928,unknown
ä,1919,unknown
cine,1906,unknown
ei,1897,verb
nangmi,1870,unknown
pek,1851,unknown
Jesuh,1850,divine_noun
mawng,1842,unknown
hmat,1809,verb
kami,1804,unknown
shin,1751,unknown
hteh,1690,unknown
vä,1654,unknown
ng’thu,1621,unknown
hnüüp,1608,unknown
phäh,1586,unknown
täng,1582,unknown
im,1578,unknown
ma,1547,noun
gaw,1542,unknown
pe,1505,verb
pyein,1497,verb
ni,1471,unknown
gawk,1467,verb
goi,1460,unknown
phung,1459,unknown
ngawn,1442,unknown
bik,1420,unknown
pyi,1403,tense_aspect
tuk,1385,unknown
nei”,1374,unknown
kho,1349,noun
Chang,1307,noun
mät,1289,unknown
tui,1286,noun
hlü,1263,unknown
