vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,destination_id,network_id,class,object_type
{},1,2025-10-16 00:04:33,False,,,ChainVector,20,21,20,ChainVector,Vector
{},2,2025-10-16 00:04:39,False,,,ChainVector,19,22,19,ChainVector,Vector
{},3,2025-10-16 00:04:44,False,,,ChainVector,21,23,20,ChainVector,Vector
{},4,2025-10-16 00:04:51,False,,,ChainVector,22,24,19,ChainVector,Vector
{},5,2025-10-16 00:10:24,False,,,ChainVector,26,27,22,ChainVector,Vector
{},6,2025-10-16 00:10:41,False,,,ChainVector,25,28,21,ChainVector,Vector
{},7,2025-10-16 00:10:50,False,,,ChainVector,27,29,22,ChainVector,Vector
{},8,2025-10-16 00:11:03,False,,,ChainVector,28,30,21,ChainVector,Vector
{},9,2025-10-16 00:13:41,False,,,ChainVector,31,33,23,ChainVector,Vector
{},10,2025-10-16 00:13:50,False,,,ChainVector,32,34,24,ChainVector,Vector
{},11,2025-10-16 00:14:02,False,,,ChainVector,33,35,23,ChainVector,Vector
{},12,2025-10-16 00:14:09,False,,,ChainVector,34,36,24,ChainVector,Vector
{},13,2025-10-16 00:15:49,False,,,ChainVector,38,39,26,ChainVector,Vector
{},14,2025-10-16 00:16:01,False,,,ChainVector,37,40,25,ChainVector,Vector
{},15,2025-10-16 00:16:10,False,,,ChainVector,39,41,26,ChainVector,Vector
{},16,2025-10-16 00:16:19,False,,,ChainVector,40,42,25,ChainVector,Vector
{},17,2025-10-16 00:22:10,False,,,ChainVector,44,45,28,ChainVector,Vector
{},18,2025-10-16 00:22:33,False,,,ChainVector,43,46,27,ChainVector,Vector
{},19,2025-10-16 00:22:51,False,,,ChainVector,45,47,28,ChainVector,Vector
{},20,2025-10-16 00:23:16,False,,,ChainVector,46,48,27,ChainVector,Vector
