node,membership
a,"[1, 16, 17, 159]"
b,"[7, 60, 65, 164]"
c,"[7, 60, 65, 164]"
d,"[8, 113]"
e,"[1, 13, 16, 17, 159]"
f,"[8, 113]"
g,"[1, 13, 16, 17]"
h,"[15, 158]"
i,"[7, 60, 62, 63, 64, 65, 80, 108, 143, 164, 177]"
j,"[1, 16, 17, 159]"
k,"[7, 60, 62, 63, 64, 65, 80, 108, 143, 164, 177]"
l,"[5, 6, 82, 129, 142]"
m,"[1, 7, 8, 13, 16, 17, 113, 159]"
n,"[60, 62, 64, 65, 80, 108, 164, 177]"
o,"[6, 82, 129, 142]"
p,"[0, 1, 5, 8, 13, 16, 17, 113]"
q,"[5, 6, 129, 136, 142]"
r,"[145, 170]"
s,"[21, 197]"
t,"[15, 63, 158]"
u,"[21, 197]"
v,"[15, 158]"
w,"[59, 63, 81, 143]"
x,"[64, 65, 80, 108, 164, 177]"
y,"[62, 63, 64, 65, 80, 108, 143, 164, 177]"
z,"[59, 81]"
aa,"[39, 60, 62, 64, 65, 80, 108, 135, 164, 177]"
ab,"[5, 6, 8, 82, 129, 142]"
ac,"[9, 46, 130, 131, 133, 137, 157]"
ad,"[6, 82, 129, 142]"
ae,"[9, 46, 106, 130, 131, 137, 157]"
af,"[10, 124]"
ag,"[145, 170]"
ah,"[6, 129]"
ai,"[76, 100]"
aj,"[9, 46, 106, 130, 131, 137, 157]"
ak,"[10, 124]"
al,"[19, 145, 170]"
am,"[10, 76, 77, 100, 101, 124, 128, 150]"
an,"[68, 69, 79, 87, 125, 167]"
ao,"[77, 122, 128, 150]"
ap,"[104, 141, 152]"
aq,"[20, 21, 88, 171, 189]"
ar,"[174, 180, 181, 183]"
as,"[15, 63, 158]"
at,"[20, 21, 88, 141, 171, 189, 197]"
au,"[20, 21, 88, 171, 189, 197]"
av,"[43, 78, 172, 174, 179, 180, 181, 183]"
aw,"[63, 64, 108]"
ax,"[59, 81]"
ay,"[78, 172, 174, 179, 180, 181, 183]"
az,"[39, 43]"
ba,"[75, 103, 184]"
bb,"[62, 63, 64, 108]"
bc,"[59, 81]"
bd,"[6, 82, 129, 142]"
be,"[39, 62, 64, 108, 135, 177]"
bf,"[9, 46, 130, 131, 133, 137, 157]"
bg,"[75, 107, 118, 154, 195]"
bh,"[103, 184]"
bi,"[75, 107, 118, 154, 195]"
bj,"[6, 82, 129, 142]"
bk,"[9, 46, 106, 130, 131, 137, 157]"
bl,"[10, 124]"
bm,"[145, 170]"
bn,"[6, 129, 136]"
bo,"[10, 106, 124]"
bp,"[9, 46, 130, 131, 137, 157]"
bq,"[19, 145, 170]"
br,"[10, 40, 41, 76, 77, 84, 100, 101, 122, 124, 128, 150]"
bs,"[41, 77, 84, 122, 128, 150]"
bt,"[68, 91]"
bu,"[69, 79, 87, 125]"
bv,"[41, 84, 122, 128]"
bw,"[68, 91]"
bx,"[69, 79, 87, 125]"
by,"[12, 104, 141, 152, 168]"
bz,"[20, 21, 88, 171, 189]"
ca,"[22, 24, 102]"
cb,"[174, 180, 181, 183]"
cc,"[12, 141, 152]"
cd,"[20, 21, 88, 171, 189]"
ce,"[22, 24, 102]"
cf,"[20, 21, 22, 24, 88, 102, 171, 189, 197]"
cg,"[39, 43, 59]"
ch,"[78, 172, 174, 179, 180, 181, 183]"
ci,"[78, 172, 174, 179, 180, 181, 183]"
cj,"[39, 59]"
ck,"[4, 29, 74, 147, 155, 175, 191]"
cl,"[75, 103, 154, 184]"
cm,"[4, 29, 74, 147, 155, 175, 191]"
cn,"[9, 46, 130, 131, 133, 137, 157]"
co,"[75, 107, 118, 154, 195]"
cp,"[103, 184]"
cq,"[29, 74, 147, 155, 175, 191]"
cr,"[75, 107, 118, 134, 154, 156, 195]"
cs,"[106, 124]"
ct,"[9, 46, 130, 131, 137, 157]"
cu,"[25, 89, 132, 149]"
cv,"[26, 83, 112, 134, 146, 156]"
cw,"[9, 46, 106, 130, 131, 137, 157]"
cx,"[10, 124]"
cy,"[26, 83, 146]"
cz,"[70, 85, 86]"
da,"[25, 89, 132, 149]"
db,"[41, 84, 122, 128]"
dc,"[77, 150]"
dd,"[10, 76, 100]"
de,"[70, 85, 86]"
df,"[25, 89, 132, 149]"
dg,"[68, 79, 91, 125, 167]"
dh,"[77, 150]"
di,"[41, 84, 122, 128]"
dj,"[70, 85, 86]"
dk,"[41, 42, 52, 68, 79, 84, 91, 122, 125, 128, 167]"
dl,"[48, 50, 117]"
dm,"[12, 20, 22, 24, 88, 102, 104, 141, 152, 168, 171]"
dn,"[180, 181, 183]"
do,"[48, 50, 117]"
dp,"[45, 94, 96, 99, 163, 188]"
dq,"[12, 141, 152]"
dr,"[20, 22, 24, 88, 102, 171]"
ds,"[78, 172, 179, 180, 181, 183]"
dt,"[20, 22, 24, 88, 102, 171]"
du,"[99, 126, 188]"
dv,"[45, 94, 96, 163]"
dw,"[78, 172, 179, 180, 181, 183]"
dx,"[4, 29, 74, 111, 123, 147, 155, 175, 191, 192]"
dy,"[45, 96]"
dz,"[99, 126, 188]"
ea,"[107, 118, 134, 154, 195]"
eb,"[116, 140, 178]"
ec,"[4, 29, 111, 123, 147, 175, 191, 192]"
ed,"[107, 112, 118, 134, 146, 154, 156, 195]"
ee,"[30, 83, 162, 182]"
ef,"[116, 140, 178]"
eg,"[29, 111, 123, 147, 175, 191, 192]"
eh,"[112, 134, 146, 156]"
ei,"[25, 89]"
ej,"[90, 93, 97, 127]"
ek,"[162, 166]"
el,"[30, 182]"
em,"[70, 85, 86]"
en,"[25, 26, 30, 83, 89, 90, 92, 93, 97, 127, 132, 146, 149, 162, 166]"
eo,"[90, 93, 97]"
ep,"[42, 84]"
eq,"[70, 85, 86]"
er,"[25, 89, 132, 149]"
es,"[22, 24, 102]"
et,"[48, 49, 50, 117]"
eu,"[48, 49, 50, 117]"
ev,"[22, 24, 102]"
ew,"[45, 94, 95, 96, 99, 163, 188]"
ex,"[22, 24, 102]"
ey,"[53, 73, 110]"
ez,"[99, 126, 188]"
fa,"[45, 94, 95, 96, 163]"
fb,"[53, 73]"
fc,"[45, 96]"
fd,"[99, 126, 188]"
fe,"[144, 160]"
ff,"[4, 29, 37, 74, 111, 123, 147, 175, 191, 192]"
fg,"[144, 160]"
fh,"[34, 151]"
fi,"[28, 116, 140, 176, 178]"
fj,"[4, 29, 111, 123, 147, 175, 191, 192]"
fk,"[33, 34, 144, 151]"
fl,"[29, 111, 123, 147, 175, 191, 192]"
fm,"[55, 92]"
fn,"[28, 30, 162, 176, 182]"
fo,"[116, 140, 178]"
fp,"[90, 93, 97, 165]"
fq,"[28, 30, 55, 92, 127, 162, 166, 182]"
fr,"[70, 85, 86]"
fs,"[26, 30, 54, 55, 83, 89, 90, 92, 93, 97, 98, 114, 127, 146, 149, 162, 165, 166]"
ft,"[70, 85, 86, 89, 149]"
fu,"[54, 90, 93, 97, 114, 165]"
fv,"[47, 49]"
fw,"[48, 50, 117]"
fx,"[48, 50, 117]"
fy,"[38, 47, 49, 94, 95, 96, 163, 188]"
fz,"[2, 27, 32, 36, 51, 53, 71, 73, 109, 110]"
ga,"[99, 126, 188]"
gb,"[38, 47, 94, 95, 96, 163]"
gc,"[94, 96, 99, 126, 188]"
gd,"[27, 53, 73]"
ge,"[2, 32, 36, 51, 71]"
gf,"[34, 35, 120, 144, 160]"
gg,"[37, 111, 123, 192]"
gh,"[2, 32, 71]"
gi,"[33, 119, 151]"
gj,"[34, 35, 57, 120, 144]"
gk,"[28, 116, 140, 176, 178]"
gl,"[111, 123, 192]"
gm,"[34, 35, 57, 120, 144]"
gn,"[33, 119, 151]"
go,"[111, 123, 192]"
gp,"[55, 92]"
gq,"[30, 162, 182]"
gr,"[28, 176]"
gs,"[116, 140, 178]"
gt,"[67, 139, 169]"
gu,"[28, 30, 33, 55, 90, 92, 93, 97, 98, 114, 115, 119, 121, 127, 140, 151, 162, 165, 166, 176, 178, 182, 194]"
gv,"[67, 139, 169]"
gw,"[30, 54, 55, 90, 92, 93, 97, 98, 114, 127, 162, 165, 166]"
gx,"[54, 165]"
gy,"[90, 93]"
gz,"[38, 47]"
ha,"[58, 109]"
hb,"[38, 47]"
hc,"[2, 3, 27, 31, 32, 36, 51, 56, 58, 71, 73, 109, 138, 153]"
hd,"[34, 35, 120, 144, 160]"
he,"[2, 3, 27, 31, 32, 36, 51, 56, 71, 138, 153, 186]"
hf,"[161, 173, 185, 190, 193, 194]"
hg,"[2, 3, 32, 71, 153, 186]"
hh,"[33, 119, 151]"
hi,"[34, 35, 57, 120, 144]"
hj,"[161, 173, 185, 190, 193]"
hk,"[34, 35, 57, 120, 144]"
hl,"[33, 119, 151]"
hm,"[66, 67, 105, 139, 148, 169]"
hn,"[33, 115, 119, 151, 194]"
ho,"[161, 185, 193]"
hp,"[54, 55, 98, 114, 165]"
hq,"[66, 67, 105, 139, 148, 169]"
hr,"[54, 114, 165]"
hs,"[67, 105, 139, 148]"
ht,"[36, 51, 138]"
hu,"[31, 56, 153]"
hv,"[36, 51, 138]"
hw,"[3, 31, 56, 153, 186]"
hx,"[2, 3, 31, 36, 71, 120, 153, 186]"
hy,"[161, 173, 185, 190, 193, 194, 196]"
hz,"[66, 67, 105, 139, 148, 169]"
ia,"[161, 185, 193, 194]"
