,Year,"No Planned Retirement, Retired at 50yrs Old (GW)",Partial Plant Retirement – Generator Not Planned (GW),Partial Plant Retirement – Generator Planned (GW),Full Planned Retirement (GW),Total Coal Capacity at Age Based Retirement Trajectory (GW),Total Coal Capacity at Planned Retirement Trajectory (GW)
0,2024,29.5093,3.2226,1.0234,0.0,161.515,194.2469
1,2025,5.5557,0.0,1.3826,14.5478,140.0289,178.3165
2,2026,4.9717,0.6679,0.0,4.7864,129.6029,173.5301
3,2027,0.0915,0.6679,0.6188,8.5628,119.6619,164.3485
4,2028,4.9861,0.0,4.2653,19.2804,91.1301,140.8028
5,2029,4.7616,0.4626,0.3645,1.8498,83.6916,138.5885
6,2030,5.2018,0.0,0.65,7.0767,70.7631,130.8618
7,2031,5.6744,1.3032,0.0,2.8914,60.8941,127.9704
8,2032,5.2873,0.0,0.0,0.8218,54.785,127.1486
9,2033,5.0139,1.4346,1.4,0.0,46.9365,125.7486
10,2034,2.5833,0.619,0.697,0.9387,42.0985,124.1129
11,2035,4.2337,0.891,0.0,0.0,36.9738,124.1129
12,2036,1.805,0.0,0.0,1.3973,33.7715,
13,2037,1.3007,0.0,0.0,3.5777,28.8931,
14,2038,0.036,0.0,0.0,0.36,28.4971,
15,2039,0.46,0.0,0.0,1.6443,26.3928,
16,2040,0.7105,0.0,0.0,0.36,25.3223,
17,2041,1.2164,0.4248,0.0,0.0,23.6811,
18,2042,0.8801,0.0,0.0,0.0,22.801,
19,2043,0.1897,0.0,0.0,0.0,22.6113,
20,2044,0.1528,0.0,0.0,0.0,22.4585,
21,2045,0.0,0.0,0.0,0.0,22.4585,
22,2046,1.357,0.0,0.0,0.0,21.1015,
23,2047,0.6233,0.0,0.0,0.0,20.4782,
24,2048,0.0,0.0,0.0,0.0,20.4782,
25,2049,0.062,0.0,0.0,0.0,20.4162,
26,2050,0.0,0.0,0.0,0.0,20.4162,
27,2051,0.0,0.0,0.0,0.0,20.4162,
28,2052,0.5137,0.0,0.0,0.0,19.9025,
29,2053,0.0,0.0,0.0,0.0,19.9025,
30,2054,0.09,0.0,0.0,0.0,19.8125,
31,2055,0.585,0.0,0.0,0.0,19.2275,
32,2056,0.3294,0.0,0.0,0.0,18.8981,
33,2057,0.1157,0.4581,0.0,0.0,18.3243,
34,2058,1.5135,0.0,0.0,0.0,16.8108,
35,2059,1.584,0.0,0.0,0.0,15.2268,
36,2060,1.2975,0.4581,0.0,0.0,13.4712,
37,2061,3.4531,0.0,0.0,0.0,10.0181,
38,2062,3.9531,0.3,0.0,0.0,5.765,
39,2063,3.043,0.9095,0.0,0.0,1.8125,
40,2064,1.8125,0.0,0.0,0.0,0.0,
