GENYRRET,GENSTAT,FUELG1,CFACT,NAMEPCAP,Age,Plant Name,GENNTAN,SUBRGN,PSTATABB,Date of Last Unit or Planned Retirement,Retirement Status,Average Capacity Factor,source,ORISPL,Generator Size Weighted Capacity Factor (%),Generator Size Weighted Age,Percent_Capacity_Retiring,2022 SO2 Emissions (tons),2022 SO2 Emission Rate (lb/mmBtu),2022 NOX Emissions (tons),2022 NOX Emission Rate (lb/mmBtu),2022 CO2 Emissions (tons),2022 CO2 Emission Rate (lb/mmBtu),LAT,LON,State coal generation percent (resource mix),State gas generation percent (resource mix),eGRID subregion coal generation percent (resource mix),eGRID subregion gas generation percent (resource mix),eGRID subregion wind generation percent (resource mix),eGRID subregion solar generation percent (resource mix),Forward Costs,Difference between cheapest renewables and coal ($/MWh),Renewables or Coal,Percent difference between cheapest renewables and coal (%),Cheapest Renewable Resource,Ownership Type,total population (ACS2018),National percentile for Demographic Index,National percentile for People of Color Population,National percentile for Low Income Population,National percentile for Population with Less Than High School Education,Total Nameplate Capacity (MW),Mapped Fuel Type,ret_STATUS
[2021.0],['RE'],['LIG'],[0.171],[720.7],,Dolet Hills,1077152.0,SPSO,LA,2021.0,RE,0.171,2021,51,,,1.0,5102.658,0.789,1969.6,0.305,1408050.192,217.739,32.030556,-93.569167,0.0810242880356293,0.646874472712293,0.268210529244418,0.359958247099831,0.293684315700623,0.00411465547185108,119.53669412296088,209.18685518811316,renewables,-0.7499802610647242,,,,,,,,720.7,LIG,2.0
[2022.0],['RE'],['SUB'],[0.082],[75.0],57.0,South Plant,53792.0,RMPA,CO,2022.0,RE,0.082,2022,492,,,1.0,7.56,0.006,173.611,0.131,156850.304,118.557,38.824444,-104.833333,0.374455429491323,0.265706452539064,0.365630494205646,0.236173239242403,0.275076064265474,0.035468736728434,,,,,,,,,,,,75.0,SUB,2.0
"[2022.0, 2022.0]","['RE', 'RE']","['SUB', 'SUB']","[0.464, 0.489]","[280.5, 363.8]",55.0,E D Edwards,2699061.0,SRMW,IL,2022.0,RE,0.47650000000000003,2022,856,,,1.0,6698.223,0.487,2103.027,0.153,2885598.824,209.76,40.5958,-89.6631,0.219005149862498,0.106855034699968,0.591489390942245,0.117781382420121,0.108785523095957,0.011867665808733,30.847319,10.655144999999997,renewables,0.3454155934912852,regional wind,IPP,23100.0,39.0,18.0,62.0,57.0,322.15,SUB,2.0
"[2020.0, 2020.0, 2020.0]","['RE', 'RE', 'RE']","['BIT', 'BIT', 'BIT']","[-0.009, 0.163, -0.007]","[66.0, 236.0, 236.0]",,Lowman Energy Center,317291.0,SRSO,AL,2020.0,RE,0.048999999999999995,2020,56,,,1.0,264.6,0.131,857.321,0.424,414894.312,205.2,31.488019,-87.910747,0.157506101739735,0.399857332110516,0.156240489175339,0.548195136141935,0.0,0.0190739880353189,53.34853025838789,75.82846804261878,renewables,-0.42137876480104913,,,,,,,,179.33333333333334,BIT,2.0
"[2022.0, 2022.0]","['RE', 'RE']","['SUB', 'SUB']","[0.232, 0.183]","[326.4, 355.3]",65.0,Waukegan,1231450.0,RFCW,IL,2022.0,RE,0.20750000000000002,2022,883,,,1.0,813.354,0.113,835.28,0.116,1526430.775,211.334,42.3833,-87.8133,0.219005149862498,0.106855034699968,0.313993593790535,0.319849116771056,0.0600034698709481,0.00508856722973635,34.541629,13.600276000000001,renewables,0.3937358020954947,regional wind,IPP,63055.0,83.0,83.0,70.0,87.0,340.85,SUB,2.0
[2020.0],['RE'],['SUB'],[0.265],[257.0],,Escalante,596278.0,AZNM,NM,2020.0,RE,0.265,2020,87,,,1.0,421.5,0.132,984.088,0.309,668993.625,209.76,35.4159,-108.082,0.376050063044367,0.350983911936531,0.160436859186445,0.496916763831617,0.0259399241313652,0.0519109290892189,35.37863431518285,46.44960948405988,renewables,-0.3129282795442978,,,,,,,,257.0,SUB,2.0
[2022.0],['RE'],['SUB'],[0.058],[598.4],62.0,Will County,304087.0,RFCW,IL,2022.0,RE,0.058,2022,884,,,1.0,274.307,0.148,198.353,0.107,392017.975,211.241,41.6334,-88.0629,0.219005149862498,0.106855034699968,0.313993593790535,0.319849116771056,0.0600034698709481,0.00508856722973635,56.732467,35.610119,renewables,0.6276850079514433,regional wind,IPP,32847.0,47.0,59.0,35.0,72.0,598.4,SUB,2.0
[2020.0],['RE'],['SUB'],[0.175],[720.0],,Oklaunion,1103627.0,ERCT,TX,2020.0,RE,0.175,2020,127,,,1.0,748.3,0.116,2089.424,0.324,1354459.0,209.76,34.0825,-99.1753,0.166520694424018,0.520789846740819,0.164519008222146,0.501549360467776,0.203503563357103,0.0204863070438365,36.08033863419345,49.90197295931396,renewables,-0.3830793958242315,,,,,,,,720.0,SUB,2.0
"[2022.0, 2022.0, 2022.0, 2022.0, 2022.0, 2022.0]","['RE', 'RE', 'RE', 'RE', 'RE', 'RE']","['RC', 'RC', 'RC', 'RC', 'RC', 'RC']","[0.365, 0.404, 0.36, 0.393, 0.388, 0.345]","[183.3, 183.3, 183.3, 183.3, 183.3, 183.3]",71.0,Joppa Steam,3622746.0,SRMW,IL,2022.0,RE,0.3758333333333333,2022,887,,,1.0,10982.309,0.541,2341.531,0.115,4254759.286,209.716,37.2094,-88.858889,0.219005149862498,0.106855034699968,0.591489390942245,0.117781382420121,0.108785523095957,0.011867665808733,34.814217,14.910771999999998,renewables,0.42829548629515346,regional wind,Investor Owned,1095.0,37.0,12.0,63.0,52.0,183.29999999999998,RC,2.0
[2021.0],['RE'],['SUB'],[0.07],[400.0],,Bridgeport Station,245937.0,NEWE,CT,2021.0,RE,0.07,2021,568,,,1.0,296.918,0.022,242.229,0.018,1708498.671,127.765,41.1706,-73.1844,0.00555006941325139,0.555555684407102,0.00561572479355904,0.542847070708749,0.0366760262670274,0.0238467306976354,,,,,,,,,,,,400.0,SUB,2.0
[2023.0],['RE'],['BIT'],[0.0],[11.5],70.0,Crawfordsville Power Plant,0.0,RFCW,IN,2023.0,RE,0.0,2023,1024,,,1.0,0.0,,0.0,,0.0,,40.048889,-86.8992,0.455,0.387,0.25,0.378,0.055,0.008,,,,,,,,,,,,11.5,BIT,2.0
