source,target,weight
a,e,0.25
a,g,0.333
a,j,0.25
a,m,0.25
a,p,0.333
b,c,0.25
b,i,0.25
b,k,0.25
b,m,1.0
b,n,0.333
b,x,0.5
b,y,0.5
b,aa,0.333
c,i,0.25
c,k,0.25
c,m,1.0
c,n,0.333
c,x,0.5
c,y,0.5
c,aa,0.333
d,f,0.5
d,m,0.5
d,p,0.5
d,ab,1.0
e,g,0.25
e,j,0.25
e,m,0.2
e,p,0.25
f,m,0.5
f,p,0.5
f,ab,1.0
g,j,0.333
g,m,0.25
g,p,0.25
h,t,0.5
h,v,0.5
h,as,0.5
i,k,0.091
i,m,1.0
i,n,0.125
i,t,1.0
i,w,0.5
i,x,0.167
i,y,0.111
i,aa,0.125
i,as,1.0
i,aw,0.333
i,bb,0.25
i,be,0.25
j,m,0.25
j,p,0.333
k,m,1.0
k,n,0.125
k,t,1.0
k,w,0.5
k,x,0.167
k,y,0.111
k,aa,0.125
k,as,1.0
k,aw,0.333
k,bb,0.25
k,be,0.25
l,o,0.25
l,p,1.0
l,q,0.25
l,ab,0.2
l,ad,0.25
l,ah,0.5
l,bd,0.25
l,bj,0.25
l,bn,0.5
m,p,0.167
m,ab,1.0
n,x,0.167
n,y,0.143
n,aa,0.125
n,aw,0.5
n,bb,0.333
n,be,0.25
o,q,0.333
o,ab,0.25
o,ad,0.25
o,ah,0.5
o,bd,0.25
o,bj,0.25
o,bn,0.5
p,q,1.0
p,ab,0.5
q,ab,0.25
q,ad,0.333
q,ah,0.5
q,bd,0.333
q,bj,0.333
q,bn,0.333
r,ag,0.5
r,al,0.5
r,bm,0.5
r,bq,0.5
s,u,0.5
s,aq,1.0
s,at,0.5
s,au,0.5
s,bz,1.0
s,cd,1.0
s,cf,0.5
t,v,0.5
t,w,1.0
t,y,1.0
t,as,0.333
t,aw,1.0
t,bb,1.0
u,aq,1.0
u,at,0.5
u,au,0.5
u,bz,1.0
u,cd,1.0
u,cf,0.5
v,as,0.5
w,y,0.5
w,z,0.5
w,as,1.0
w,aw,1.0
w,ax,0.5
w,bb,1.0
w,bc,0.5
w,cg,1.0
w,cj,1.0
x,y,0.167
x,aa,0.167
x,aw,0.5
x,bb,0.5
x,be,0.333
y,aa,0.143
y,as,1.0
y,aw,0.333
y,bb,0.25
y,be,0.25
z,ax,0.5
z,bc,0.5
z,cg,1.0
z,cj,1.0
aa,aw,0.5
aa,az,1.0
aa,bb,0.333
aa,be,0.167
aa,cg,1.0
aa,cj,1.0
ab,ad,0.25
ab,ah,0.5
ab,bd,0.25
ab,bj,0.25
ab,bn,0.5
ac,ae,0.167
ac,aj,0.167
ac,bf,0.143
ac,bk,0.167
ac,bp,0.167
ac,cn,0.143
ac,ct,0.167
ac,cw,0.167
ad,ah,0.5
ad,bd,0.25
ad,bj,0.25
ad,bn,0.5
ae,aj,0.143
ae,bf,0.167
ae,bk,0.143
ae,bo,1.0
ae,bp,0.167
ae,cn,0.167
ae,cs,1.0
ae,ct,0.167
ae,cw,0.143
af,ak,0.5
af,am,0.5
af,bl,0.5
af,bo,0.5
af,br,0.5
af,cs,1.0
af,cx,0.5
af,dd,1.0
ag,al,0.5
ag,bm,0.5
ag,bq,0.5
ah,bd,0.5
ah,bj,0.5
ah,bn,0.5
ai,am,0.5
ai,br,0.5
ai,dd,0.5
aj,bf,0.167
aj,bk,0.143
aj,bo,1.0
aj,bp,0.167
aj,cn,0.167
aj,cs,1.0
aj,ct,0.167
aj,cw,0.143
ak,am,0.5
ak,bl,0.5
ak,bo,0.5
ak,br,0.5
ak,cs,1.0
ak,cx,0.5
ak,dd,1.0
al,bm,0.5
al,bq,0.333
am,ao,0.333
am,bl,0.5
am,bo,0.5
am,br,0.125
am,bs,0.333
am,bv,1.0
am,cs,1.0
am,cx,0.5
am,db,1.0
am,dc,0.5
am,dd,0.333
am,dh,0.5
am,di,1.0
am,dk,1.0
an,bt,1.0
an,bu,0.25
an,bw,1.0
an,bx,0.25
an,dg,0.25
an,dk,0.25
ao,br,0.25
ao,bs,0.25
ao,bv,0.5
ao,db,0.5
ao,dc,0.5
ao,dh,0.5
ao,di,0.5
ao,dk,0.5
ap,at,1.0
ap,by,0.333
ap,cc,0.5
ap,dm,0.333
ap,dq,0.5
aq,at,0.2
aq,au,0.2
aq,bz,0.2
aq,cd,0.2
aq,cf,0.2
aq,dm,0.333
aq,dr,0.333
aq,dt,0.333
ar,av,0.25
ar,ay,0.25
ar,cb,0.25
ar,ch,0.25
ar,ci,0.25
ar,dn,0.333
ar,ds,0.333
ar,dw,0.333
as,aw,1.0
as,bb,1.0
at,au,0.167
at,by,1.0
at,bz,0.2
at,cc,1.0
at,cd,0.2
at,cf,0.167
at,dm,0.25
at,dq,1.0
at,dr,0.333
at,dt,0.333
au,bz,0.2
au,cd,0.2
au,cf,0.167
au,dm,0.333
au,dr,0.333
au,dt,0.333
av,ay,0.143
av,az,1.0
av,cb,0.25
av,cg,1.0
av,ch,0.143
av,ci,0.143
av,dn,0.333
av,ds,0.167
av,dw,0.167
aw,bb,0.333
aw,be,0.5
ax,bc,0.5
ax,cg,1.0
ax,cj,1.0
ay,cb,0.25
ay,ch,0.143
ay,ci,0.143
ay,dn,0.333
ay,ds,0.167
ay,dw,0.167
az,be,1.0
az,cg,0.5
az,cj,1.0
ba,bg,1.0
ba,bh,0.5
ba,bi,1.0
ba,cl,0.333
ba,co,1.0
ba,cp,0.5
ba,cr,1.0
bb,be,0.333
bc,cg,1.0
bc,cj,1.0
bd,bj,0.25
bd,bn,0.5
be,cg,1.0
be,cj,1.0
bf,bk,0.167
bf,bp,0.167
bf,cn,0.143
bf,ct,0.167
bf,cw,0.167
bg,bi,0.2
bg,cl,0.5
bg,co,0.2
bg,cr,0.2
bg,ea,0.25
bg,ed,0.25
bh,cl,0.5
bh,cp,0.5
bi,cl,0.5
bi,co,0.2
bi,cr,0.2
bi,ea,0.25
bi,ed,0.25
bj,bn,0.5
bk,bo,1.0
bk,bp,0.167
bk,cn,0.167
bk,cs,1.0
bk,ct,0.167
bk,cw,0.143
bl,bo,0.5
bl,br,0.5
bl,cs,1.0
bl,cx,0.5
bl,dd,1.0
bm,bq,0.5
bo,br,0.5
bo,cs,0.5
bo,cw,1.0
bo,cx,0.5
bo,dd,1.0
bp,cn,0.167
bp,ct,0.167
bp,cw,0.167
br,bs,0.167
br,bv,0.25
br,cs,1.0
br,cx,0.5
br,db,0.25
br,dc,0.5
br,dd,0.333
br,dh,0.5
br,di,0.25
br,dk,0.25
br,ep,1.0
bs,bv,0.25
bs,db,0.25
bs,dc,0.5
bs,dh,0.5
bs,di,0.25
bs,dk,0.25
bs,ep,1.0
bt,bw,0.5
bt,dg,0.5
bt,dk,0.5
bu,bx,0.25
bu,dg,0.5
bu,dk,0.5
bv,db,0.25
bv,di,0.25
bv,dk,0.25
bv,ep,1.0
bw,dg,0.5
bw,dk,0.5
bx,dg,0.5
bx,dk,0.5
by,cc,0.333
by,dm,0.2
by,dq,0.333
bz,cd,0.2
bz,cf,0.2
bz,dm,0.333
bz,dr,0.333
bz,dt,0.333
ca,ce,0.333
ca,cf,0.333
ca,dm,0.333
ca,dr,0.333
ca,dt,0.333
ca,es,0.333
ca,ev,0.333
ca,ex,0.333
cb,ch,0.25
cb,ci,0.25
cb,dn,0.333
cb,ds,0.333
cb,dw,0.333
cc,dm,0.333
cc,dq,0.333
cd,cf,0.2
cd,dm,0.333
cd,dr,0.333
cd,dt,0.333
ce,cf,0.333
ce,dm,0.333
ce,dr,0.333
ce,dt,0.333
ce,es,0.333
ce,ev,0.333
ce,ex,0.333
cf,dm,0.167
cf,dr,0.167
cf,dt,0.167
cf,es,0.333
cf,ev,0.333
cf,ex,0.333
cg,cj,0.5
ch,ci,0.143
ch,dn,0.333
ch,ds,0.167
ch,dw,0.167
ci,dn,0.333
ci,ds,0.167
ci,dw,0.167
ck,cm,0.143
ck,cq,0.167
ck,dx,0.143
ck,ec,0.2
ck,eg,0.25
ck,ff,0.167
ck,fj,0.2
ck,fl,0.25
cl,co,0.5
cl,cp,0.5
cl,cr,0.5
cl,ea,1.0
cl,ed,1.0
cm,cq,0.167
cm,dx,0.143
cm,ec,0.2
cm,eg,0.25
cm,ff,0.167
cm,fj,0.2
cm,fl,0.25
cn,ct,0.167
cn,cw,0.167
co,cr,0.2
co,ea,0.25
co,ed,0.25
cq,dx,0.167
cq,ec,0.25
cq,eg,0.25
cq,ff,0.2
cq,fj,0.25
cq,fl,0.25
cr,cv,0.5
cr,ea,0.2
cr,ed,0.167
cr,eh,0.5
cs,cw,1.0
cs,cx,1.0
ct,cw,0.167
cu,da,0.25
cu,df,0.25
cu,ei,0.5
cu,en,0.25
cu,er,0.25
cu,fs,0.5
cu,ft,0.5
cv,cy,0.333
cv,ea,1.0
cv,ed,0.25
cv,ee,1.0
cv,eh,0.25
cv,en,0.333
cv,fs,0.333
cx,dd,1.0
cy,ed,1.0
cy,ee,1.0
cy,eh,1.0
cy,en,0.333
cy,fs,0.333
cz,de,0.333
cz,dj,0.333
cz,em,0.333
cz,eq,0.333
cz,fr,0.333
cz,ft,0.333
da,df,0.25
da,ei,0.5
da,en,0.25
da,er,0.25
da,fs,0.5
da,ft,0.5
db,di,0.25
db,dk,0.25
db,ep,1.0
dc,dh,0.5
de,dj,0.333
de,em,0.333
de,eq,0.333
de,fr,0.333
de,ft,0.333
df,ei,0.5
df,en,0.25
df,er,0.25
df,fs,0.5
df,ft,0.5
dg,dk,0.2
di,dk,0.25
di,ep,1.0
dj,em,0.333
dj,eq,0.333
dj,fr,0.333
dj,ft,0.333
dk,ep,0.5
dl,do,0.333
dl,et,0.333
dl,eu,0.333
dl,fw,0.333
dl,fx,0.333
dm,dq,0.333
dm,dr,0.167
dm,dt,0.167
dm,es,0.333
dm,ev,0.333
dm,ex,0.333
dn,ds,0.333
dn,dw,0.333
do,et,0.333
do,eu,0.333
do,fw,0.333
do,fx,0.333
dp,du,0.5
dp,dv,0.25
dp,dy,0.5
dp,dz,0.5
dp,ew,0.167
dp,ez,0.5
dp,fa,0.25
dp,fc,0.5
dp,fd,0.5
dp,fy,0.25
dp,ga,0.5
dp,gb,0.333
dp,gc,0.25
dr,dt,0.167
dr,es,0.333
dr,ev,0.333
dr,ex,0.333
ds,dw,0.167
dt,es,0.333
dt,ev,0.333
dt,ex,0.333
du,dz,0.333
du,ew,0.5
du,ez,0.333
du,fd,0.333
du,fy,1.0
du,ga,0.333
du,gc,0.333
dv,dy,0.5
dv,ew,0.25
dv,fa,0.25
dv,fc,0.5
dv,fy,0.333
dv,gb,0.333
dv,gc,0.5
dx,ec,0.125
dx,eg,0.143
dx,ff,0.111
dx,fj,0.125
dx,fl,0.143
dx,gg,0.333
dx,gl,0.333
dx,go,0.333
dy,ew,0.5
dy,fa,0.5
dy,fc,0.5
dy,fy,1.0
dy,gb,1.0
dy,gc,1.0
dz,ew,0.5
dz,ez,0.333
dz,fd,0.333
dz,fy,1.0
dz,ga,0.333
dz,gc,0.333
ea,ed,0.2
ea,eh,1.0
eb,ef,0.333
eb,fi,0.333
eb,fo,0.333
eb,gk,0.333
eb,gs,0.333
eb,gu,0.5
ec,eg,0.143
ec,ff,0.125
ec,fj,0.125
ec,fl,0.143
ec,gg,0.333
ec,gl,0.333
ec,go,0.333
ed,eh,0.25
ed,en,1.0
ed,fs,1.0
ee,ek,1.0
ee,el,0.5
ee,en,0.333
ee,fn,0.333
ee,fq,0.333
ee,fs,0.333
ee,gq,0.333
ee,gu,0.333
ee,gw,0.5
ef,fi,0.333
ef,fo,0.333
ef,gk,0.333
ef,gs,0.333
ef,gu,0.5
eg,ff,0.143
eg,fj,0.143
eg,fl,0.143
eg,gg,0.333
eg,gl,0.333
eg,go,0.333
eh,en,1.0
eh,fs,1.0
ei,en,0.5
ei,er,0.5
ei,fs,1.0
ei,ft,1.0
ej,en,0.25
ej,eo,0.333
ej,fp,0.333
ej,fq,1.0
ej,fs,0.25
ej,fu,0.333
ej,gu,0.25
ej,gw,0.25
ej,gy,0.5
ek,en,0.5
ek,fn,1.0
ek,fq,0.5
ek,fs,0.5
ek,gq,1.0
ek,gu,0.5
ek,gw,0.5
el,en,1.0
el,fn,0.5
el,fq,0.5
el,fs,1.0
el,gq,0.5
el,gu,0.5
el,gw,1.0
em,eq,0.333
em,fr,0.333
em,ft,0.333
en,eo,0.333
en,er,0.25
en,fm,1.0
en,fn,0.5
en,fp,0.333
en,fq,0.2
en,fs,0.077
en,ft,0.5
en,fu,0.333
en,gp,1.0
en,gq,0.5
en,gu,0.125
en,gw,0.125
en,gy,0.5
eo,fp,0.333
eo,fs,0.333
eo,fu,0.333
eo,gu,0.333
eo,gw,0.333
eo,gy,0.5
eq,fr,0.333
eq,ft,0.333
er,fs,0.5
er,ft,0.5
es,ev,0.333
es,ex,0.333
et,eu,0.25
et,fv,1.0
et,fw,0.333
et,fx,0.333
et,fy,1.0
eu,fv,1.0
eu,fw,0.333
eu,fx,0.333
eu,fy,1.0
ev,ex,0.333
ew,ez,0.5
ew,fa,0.2
ew,fc,0.5
ew,fd,0.5
ew,fy,0.2
ew,ga,0.5
ew,gb,0.25
ew,gc,0.25
ey,fb,0.5
ey,fz,0.333
ey,gd,0.5
ey,hc,1.0
ez,fd,0.333
ez,fy,1.0
ez,ga,0.333
ez,gc,0.333
fa,fc,0.5
fa,fy,0.25
fa,gb,0.25
fa,gc,0.5
fb,fz,0.5
fb,gd,0.5
fb,hc,1.0
fc,fy,1.0
fc,gb,1.0
