dataset_id,lr,weight_decay,batch_size,hidden_dim,latent_dim,n_layers,input_scale,alpha,opt_loss
19361118,0.01355143602818627,0.0026218567296373285,852,128,256,4,267,94.98059913536265,2.4885666370391846
19440815,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.787758708000183
19420528,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.6820955276489258
19420730,0.056814365187375024,0.025232574457032343,567,128,128,3,240,86.0027948682888,1.8278056383132935
19421130,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.0817387104034424
19420708,0.010032461963882204,0.03659833466696543,284,512,64,6,689,76.38727180664299,1.7941405773162842
19430529,0.024747129699872517,0.09318611166365406,1007,512,32,4,735,31.058725179421,1.9933106899261475
19460325,0.03668953319030815,0.0709121503867209,493,128,32,4,632,30.18117118626833,2.331167697906494
19491109,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.7400991916656494
19490718,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.6657947301864624
19490928,0.007780679887535325,0.09461523954567654,903,256,512,4,518,62.68556021628346,1.5220584869384766
19500802,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.3968168497085571
19591125,0.1,0.0,32,128,1024,10,1024,30.24462588663926,2.64992094039917
19530527,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.7690749168395996
19510412,0.020268186500714064,0.040420190577514725,338,256,512,5,692,76.72845084217666,1.7412728071212769
19560321,0.020268186500714064,0.040420190577514725,338,256,512,5,692,76.72845084217666,2.397838830947876
19580911,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.512306571006775
19561216,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.5968968868255615
19630714,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.5690504312515259
19600217,0.007780679887535325,0.09461523954567654,903,256,512,4,518,62.68556021628346,2.8443586826324463
19611224,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,3.2666099071502686
19670602,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.527610182762146
19620921,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.6308202743530273
19640524,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.6829859018325806
19650128,0.020268186500714064,0.040420190577514725,338,256,512,5,692,76.72845084217666,3.1214499473571777
19641206,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.7923083305358887
19650530,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.6259106397628784
19760211,0.020268186500714064,0.040420190577514725,338,256,512,5,692,76.72845084217666,2.924957275390625
19650928,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.5382511615753174
19891212,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,3.145613670349121
19720210,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.7076096534729004
19721228,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.5942165851593018
19910607,0.06461520277097496,0.0,32,256,128,9,1024,100.0,1.5324270725250244
19770603,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.7229845523834229
19770423,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.9487656354904175
19781112,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.2621893882751465
19811215,0.1,0.0,32,128,1024,10,1024,30.140955033001926,3.2619588375091553
19811225,0.024747129699872517,0.09318611166365406,1007,512,32,4,735,31.058725179421,3.189802646636963
19900510,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.80441415309906
19970204,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.6687259674072266
19930221,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.8047146797180176
20081204,0.01355143602818627,0.0026218567296373285,852,128,256,4,267,94.98059913536265,2.2318873405456543
20010426,0.020268186500714064,0.040420190577514725,338,256,512,5,692,76.72845084217666,1.7768203020095825
20030201,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,3.263664484024048
19930726,0.05541378053595954,0.0,32,256,512,10,1024,100.0,1.5082074403762817
19990506,0.007780679887535325,0.09461523954567654,903,256,512,4,518,62.68556021628346,1.949207067489624
20000710,1e-05,0.048578393779678104,32,1024,256,10,1024,83.89752626001845,1.5140175819396973
20060217,0.09408338804050793,0.006491158533912933,482,64,512,7,885,84.77004682374377,2.602099895477295
20060313,1e-05,0.04857839380411206,32,1024,256,10,1024,83.89752625385172,2.5237364768981934
20090311,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.691354751586914
20060714,1e-05,0.04857839187892169,32,1024,256,10,1024,83.89752673041737,1.8998481035232544
20100826,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.025895833969116
20090127,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.7387280464172363
20151227,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,3.346997022628784
20100729,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.489282250404358
20100310,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.299561023712158
20220104,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.8780549764633179
20100916,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.5731631517410278
20110701,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.728713870048523
20120104,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.531240940093994
20170425,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.1191272735595703
20151108,0.020268186500714064,0.040420190577514725,338,256,512,5,692,76.72845084217666,2.4384512901306152
20250331,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.496988296508789
20201106,0.09408338804050793,0.006491158533912933,482,64,512,7,885,84.77004682374377,1.5070741176605225
20210609,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.0483535528182983
20230224,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,1.740520715713501
20240105,0.006758259413323553,0.04599567310742584,176,128,256,9,948,22.759773832225306,2.9887804985046387
18840905,0.04632105045377501,0.0,276,32,128,10,1024,100.0,0.5380681753158569
