Dataset,BSON_Mean_Ms,FCB_Mean_Ms,Time_Ratio,BSON_Median_Ms,FCB_Median_Ms,BSON_StdDev_Ms,FCB_StdDev_Ms,BSON_Memory_Bytes,FCB_Memory_Bytes,Memory_Ratio,BSON_CPU_Percent,FCB_CPU_Percent
3DBAG,113,6,18.833,111,6,10,0,338886656,5685248,59.608,98.51,99.66
3DBV,8824,120,73.533,8786,119,288,3,7987085312,61882368,129.069,95.91,99.42
Helsinki,9693,127,76.323,9607,127,389,1,7967064064,4915200,1620.903,95.96,99.85
Ingolstadt,81,0,inf,79,0,9,0,339099648,9420800,35.995,96.72,97.74
Montreal,152,0,inf,150,0,7,0,552452096,10928128,50.553,99.06,99.40
NYC,1782,42,42.429,1762,41,68,1,2659188736,6897664,385.520,99.15,99.17
Rotterdam,66,1,66.000,66,1,2,0,356450304,4521984,78.826,99.36,99.32
Vienna,81,1,81.000,81,1,2,0,301219840,6012928,50.095,99.37,99.66
Zurich,5252,149,35.248,5134,148,372,3,7715422208,6193152,1245.799,97.82,99.29
Subset of Tokyo (PLATEAU),9739,94,103.606,9057,93,3969,2,7798669312,15613952,499.468,80.37,99.39
Takeshiba (PLATEAU) Brid,179,0,inf,177,0,6,0,527892480,20086784,26.281,97.96,92.04
Takeshiba (PLATEAU) Rail way,85,2,42.500,84,2,4,0,297861120,4882432,61.007,97.37,98.40
Takeshiba (PLATEAU) Transport,603,14,43.071,584,13,60,1,1111769088,24150016,46.036,93.93,97.27
Takeshiba (PLATEAU) Tunnel,251,2,125.500,249,2,7,0,647987200,14909440,43.462,97.85,96.90
Takeshiba (PLATEAU) Vegetation,2154,33,65.273,2134,33,69,3,4125687808,73842688,55.871,97.09,97.39
