framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,uniform,0.18636800050735475
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,uniform,0.27977280616760253
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,2,uniform,0.44419198036193847
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,2,uniform,0.7817535877227784
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,2,uniform,1.4649727821350098
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,2,uniform,1.4666367530822755
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,2,uniform,1.4633855819702148
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,2,uniform,1.4669759750366211
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_0.6,0.27557823181152347
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_0.8,0.27558591842651364
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_1.2,0.27627519607543943
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,power_law_0.6,0.44112319946289064
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,power_law_0.8,0.4412563323974609
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,power_law_1.2,0.2125676727294922
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,2,power_law_0.6,0.3573574447631836
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,2,power_law_0.8,0.39060096740722655
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,2,power_law_1.2,0.32433216094970707
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,2,power_law_0.6,0.6749887847900391
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,2,power_law_0.8,0.643154525756836
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,2,power_law_1.2,0.488078727722168
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,2,power_law_0.6,0.9337779235839843
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,2,power_law_0.8,0.8242675018310546
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,2,power_law_1.2,0.6562886047363281
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,2,power_law_0.6,1.2057017517089843
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,2,power_law_0.8,1.1270278167724608
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,2,power_law_1.2,1.0470771026611327
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,2,power_law_0.6,1.233690872192383
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,2,power_law_0.8,1.226770553588867
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,2,power_law_1.2,1.2432249450683595
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,2,power_law_0.6,1.3105868530273437
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,2,power_law_0.8,1.2925555419921875
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,2,power_law_1.2,1.3402073669433594
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,4,uniform,0.25084800720214845
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,4,uniform,0.415388822555542
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,4,uniform,0.7523744106292725
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,4,uniform,0.7526495933532715
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,4,uniform,0.7529024124145508
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,4,uniform,0.7533472061157227
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,4,uniform,0.7542399883270263
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,512,7168,2048,8,256,1,4,uniform,0.7543231964111328
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,4,power_law_0.6,0.41191936492919917
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,4,power_law_0.8,0.3921356964111328
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,4,power_law_1.2,0.14088255882263184
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,4,power_law_0.6,0.2357587242126465
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,4,power_law_0.8,0.23035648345947263
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,4,power_law_1.2,0.2009715270996094
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,4,power_law_0.6,0.3902751922607422
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,4,power_law_0.8,0.3578681564331055
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,4,power_law_1.2,0.27727167129516606
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,4,power_law_0.6,0.4972051239013672
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,4,power_law_0.8,0.46004798889160153
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,4,power_law_1.2,0.3554169464111328
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,4,power_law_0.6,0.5899545669555664
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,4,power_law_0.8,0.6116115188598632
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,4,power_law_1.2,0.5665248107910157
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,4,power_law_0.6,0.6467091369628906
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,4,power_law_0.8,0.6428108978271484
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,4,power_law_1.2,0.6071987152099609
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,4,power_law_0.6,0.6805113220214845
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,4,power_law_0.8,0.6732575988769531
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,4,power_law_1.2,0.6889043426513671
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,512,7168,2048,8,256,1,4,power_law_0.6,0.7216223907470704
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,512,7168,2048,8,256,1,4,power_law_0.8,0.7091519927978516
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,512,7168,2048,8,256,1,4,power_law_1.2,0.7690303802490235
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,8,uniform,0.3991231918334961
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,8,uniform,0.3988735914230347
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,8,uniform,0.3987391948699951
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,8,uniform,0.40019841194152833
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,8,uniform,0.3999295949935913
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,8,uniform,0.40001602172851564
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,512,7168,2048,8,256,1,8,uniform,0.40101118087768556
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,1024,7168,2048,8,256,1,8,uniform,0.4006944179534912
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,8,power_law_0.6,0.13527615547180177
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,8,power_law_0.8,0.14745471954345704
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,8,power_law_1.2,0.13354623794555665
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,8,power_law_0.6,0.21666175842285157
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,8,power_law_0.8,0.21608512878417968
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,8,power_law_1.2,0.1816486358642578
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,8,power_law_0.6,0.2911065673828125
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,8,power_law_0.8,0.24381696701049807
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,8,power_law_1.2,0.2204960060119629
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,8,power_law_0.6,0.34237697601318356
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,8,power_law_0.8,0.3399270248413086
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,8,power_law_1.2,0.33126464843750003
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,8,power_law_0.6,0.35311935424804686
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,8,power_law_0.8,0.3519647979736328
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,8,power_law_1.2,0.33367935180664066
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,8,power_law_0.6,0.3746188735961914
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,8,power_law_0.8,0.36967552185058594
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,8,power_law_1.2,0.3499212646484375
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,512,7168,2048,8,256,1,8,power_law_0.6,0.3755801773071289
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,512,7168,2048,8,256,1,8,power_law_0.8,0.3899334335327148
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,512,7168,2048,8,256,1,8,power_law_1.2,0.3909996795654297
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,1024,7168,2048,8,256,1,8,power_law_0.6,0.4326950454711914
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,1024,7168,2048,8,256,1,8,power_law_0.8,0.4263763046264648
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,1024,7168,2048,8,256,1,8,power_law_1.2,0.48698177337646487
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,16,uniform,0.21922240257263184
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,16,uniform,0.21930880546569825
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,16,uniform,0.2182015895843506
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,16,uniform,0.21883840560913087
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,16,uniform,0.21963200569152833
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,512,7168,2048,8,256,1,16,uniform,0.21991679668426514
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,1024,7168,2048,8,256,1,16,uniform,0.2201632022857666
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,2048,7168,2048,8,256,1,16,uniform,0.22008960247039794
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,16,power_law_0.6,0.14619647979736328
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,16,power_law_0.8,0.13393664360046387
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,16,power_law_1.2,0.11116607666015625
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,16,power_law_0.6,0.18039936065673828
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,16,power_law_0.8,0.1631340789794922
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,16,power_law_1.2,0.14219391822814942
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,16,power_law_0.6,0.20100351333618166
SGLang,0.5.0,NVIDIA H200,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,16,power_law_0.8,0.1876780891418457
