framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,batch_size,isl,tp_size,step,latency
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,1,16,1,0,0.8199616014957428
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,1,32,1,0,0.7999903976917266
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,1,64,1,0,0.7957855999469757
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,1,128,1,0,0.7981791973114014
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,1,256,1,0,0.8158656060695648
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,1,512,1,0,0.8717504024505616
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,1,1024,1,0,0.9788608133792878
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,1,2048,1,0,1.489740788936615
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,1,4096,1,0,2.74584321975708
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,1,8192,1,0,7.439401531219483
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,1,16384,1,0,26.122883224487303
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,1,32768,1,0,91.90289916992188
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,1,65536,1,0,339.5330871582031
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,1,131072,1,0,1316.2625732421875
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,2,16,1,0,0.8233152031898499
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,2,32,1,0,0.8109279990196228
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,2,64,1,0,0.8314079999923706
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,2,128,1,0,0.8249696016311645
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,2,256,1,0,0.8865344107151032
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,2,512,1,0,0.9627135992050171
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,2,1024,1,0,1.371945583820343
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,2,2048,1,0,2.2829952001571656
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,2,4096,1,0,5.390140771865845
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,2,8192,1,0,16.12074899673462
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,2,16384,1,0,55.1210521697998
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,2,32768,1,0,187.41724853515626
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,2,65536,1,0,685.56884765625
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,3,16,1,0,0.7917375981807708
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,3,32,1,0,0.8158111870288849
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,3,64,1,0,0.8381568014621734
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,3,128,1,0,0.8863583981990815
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,3,256,1,0,0.9210432052612305
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,3,512,1,0,1.082035195827484
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,3,1024,1,0,1.8096800208091737
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,3,2048,1,0,3.632271957397461
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,3,4096,1,0,8.39850869178772
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,3,8192,1,0,24.22189426422119
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,3,16384,1,0,82.2781364440918
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,3,32768,1,0,280.6573028564453
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,4,16,1,0,0.7857280075550079
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,4,32,1,0,0.8078592002391816
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,4,64,1,0,0.8222304046154022
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,4,128,1,0,0.8670144021511078
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,4,256,1,0,0.951171213388443
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,4,512,1,0,1.30135680437088
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,4,1024,1,0,2.055087995529175
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,4,2048,1,0,4.457369661331176
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,4,4096,1,0,11.346944046020507
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,4,8192,1,0,32.75650596618652
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,4,16384,1,0,109.98455047607422
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,4,32768,1,0,376.66046142578125
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,5,16,1,0,0.8147424042224884
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,5,32,1,0,0.8325855910778046
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,5,64,1,0,0.9011871993541718
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,5,128,1,0,0.8830463945865631
SGLang,0.5.0,NVIDIA H200,mla_context,flashinfer,fp8_block,fp8,5,256,1,0,0.9677792012691497
