         8742 function calls (8722 primitive calls) in 2.784 seconds

   Ordered by: cumulative time
   List reduced from 262 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.783    2.783 /Users/jerryinyang/Code/bmad-dev/rustybt/scripts/benchmarks/profile_extended_heavy_operations.py:279(profile_parallel_coordinator)
        1    0.000    0.000    2.783    2.783 /Users/jerryinyang/.local/share/uv/python/cpython-3.13.1-macos-aarch64-none/lib/python3.13/multiprocessing/pool.py:738(__exit__)
        1    0.000    0.000    2.783    2.783 /Users/jerryinyang/.local/share/uv/python/cpython-3.13.1-macos-aarch64-none/lib/python3.13/multiprocessing/pool.py:654(terminate)
       15    0.000    0.000    2.748    0.183 /Users/jerryinyang/.local/share/uv/python/cpython-3.13.1-macos-aarch64-none/lib/python3.13/multiprocessing/util.py:197(__call__)
        1    0.000    0.000    2.748    2.748 /Users/jerryinyang/.local/share/uv/python/cpython-3.13.1-macos-aarch64-none/lib/python3.13/multiprocessing/pool.py:680(_terminate_pool)
        1    0.000    0.000    2.720    2.720 /Users/jerryinyang/.local/share/uv/python/cpython-3.13.1-macos-aarch64-none/lib/python3.13/multiprocessing/pool.py:671(_help_stuff_finish)
        1    0.000    0.000    2.720    2.720 {method 'acquire' of '_multiprocessing.SemLock' objects}
      3/1    0.000    0.000    2.720    2.720 /Users/jerryinyang/.local/share/uv/python/cpython-3.13.1-macos-aarch64-none/lib/python3.13/threading.py:998(_bootstrap)
      3/1    0.000    0.000    2.720    2.720 /Users/jerryinyang/.local/share/uv/python/cpython-3.13.1-macos-aarch64-none/lib/python3.13/threading.py:1025(_bootstrap_inner)
       33    0.000    0.000    2.720    0.082 /Users/jerryinyang/.local/share/uv/python/cpython-3.13.1-macos-aarch64-none/lib/python3.13/multiprocessing/connection.py:202(send)
      3/1    0.000    0.000    2.720    2.720 /Users/jerryinyang/.local/share/uv/python/cpython-3.13.1-macos-aarch64-none/lib/python3.13/threading.py:981(run)
        1    0.000    0.000    2.720    2.720 /Users/jerryinyang/.local/share/uv/python/cpython-3.13.1-macos-aarch64-none/lib/python3.13/multiprocessing/pool.py:527(_handle_tasks)
       38    0.000    0.000    2.719    0.072 /Users/jerryinyang/.local/share/uv/python/cpython-3.13.1-macos-aarch64-none/lib/python3.13/multiprocessing/connection.py:406(_send_bytes)
       70    0.000    0.000    2.719    0.039 {built-in method posix.write}
       38    0.000    0.000    2.719    0.072 /Users/jerryinyang/.local/share/uv/python/cpython-3.13.1-macos-aarch64-none/lib/python3.13/multiprocessing/connection.py:381(_send)
        1    0.000    0.000    2.718    2.718 /Users/jerryinyang/.local/share/uv/python/cpython-3.13.1-macos-aarch64-none/lib/python3.13/multiprocessing/pool.py:573(_handle_results)
        1    0.000    0.000    2.718    2.718 /Users/jerryinyang/.local/share/uv/python/cpython-3.13.1-macos-aarch64-none/lib/python3.13/multiprocessing/pool.py:506(_handle_workers)
    56/52    0.000    0.000    2.713    0.052 /Users/jerryinyang/.local/share/uv/python/cpython-3.13.1-macos-aarch64-none/lib/python3.13/multiprocessing/connection.py:390(_recv)
    56/52    2.712    0.048    2.713    0.052 {built-in method posix.read}
