galaxy,ra,dec,filename
15,210.927048,-1.137346,img_-_15.jpeg
254,211.020782,0.998166,img_-_254.jpeg
368,209.399231,-0.143221,img_-_368.jpeg
1432,131.115585,51.447163,img_-_1432.jpeg
2053,229.601944,32.742622,img_-_2053.jpeg
4578,176.255005,14.47608,img_-_4578.jpeg
6809,212.720978,1.369397,img_-_6809.jpeg
11563,174.978165,3.054553,img_-_11563.jpeg
12345,205.853745,12.518266,img_-_12345.jpeg
15248,201.117096,18.23148,img_-_15248.jpeg
15420,194.252426,49.074078,img_-_15420.jpeg
18520,232.43869,27.118929,img_-_18520.jpeg
20763,192.414612,12.625293,img_-_20763.jpeg
23654,140.026764,47.221436,img_-_23654.jpeg
23658,181.49881,10.360068,img_-_23658.jpeg
28650,179.265366,21.407429,img_-_28650.jpeg
32874,177.717056,4.518072,img_-_32874.jpeg
42136,190.907364,17.933109,img_-_42136.jpeg
45125,134.666763,49.30088,img_-_45125.jpeg
46302,148.82164,24.927872,img_-_46302.jpeg
52413,192.979187,26.558268,img_-_52413.jpeg
54852,233.504868,29.229906,img_-_54852.jpeg
63246,169.911362,44.340736,img_-_63246.jpeg
65321,219.951035,41.046577,img_-_65321.jpeg
76469,168.293427,39.167614,img_-_76469.jpeg
79852,238.548569,21.56811,img_-_79852.jpeg
87502,140.757462,51.277439,img_-_87502.jpeg
91645,182.419159,48.642597,img_-_91645.jpeg
98652,142.558029,46.853474,img_-_98652.jpeg
100000,227.259003,24.918394,img_-_100000.jpeg
