group,galaxy,ra,dec,fits
1,15,210.927048,-1.137346,fits/1_15_SDSS_gband.fits
2,18520,232.43869,27.118929,fits/2_18520_SDSS_gband.fits
4,42136,190.907364,17.933109,fits/4_42136_SDSS_gband.fits
1,87502,140.757462,51.277439,fits/1_87502_SDSS_gband.fits
4,100000,227.259003,24.918394,fits/4_100000_SDSS_gband.fits
