id,efaktur_code
base.af,AFG
base.ax,ALA
base.al,ALB
base.dz,DZA
base.as,ASM
base.ad,AND
base.ao,AGO
base.ai,AIA
base.aq,ATA
base.ag,ATG
base.ar,ARG
base.am,ARM
base.aw,ABW
base.au,AUS
base.at,AUT
base.az,AZE
base.bs,BHS
base.bh,BHR
base.bd,BGD
base.bb,BRB
base.by,BLR
base.be,BEL
base.bz,BLZ
base.bj,BEN
base.bm,BMU
base.bt,BTN
base.bo,BOL
base.bq,BES
base.ba,BIH
base.bw,BWA
base.bv,BVT
base.br,BRA
base.io,IOT
base.bn,BRN
base.bg,BGR
base.bf,BFA
base.bi,BDI
base.kh,CPV
base.cm,KHM
base.ca,CMR
base.cv,CAN
base.ky,CYM
base.cf,CAF
base.td,TCD
base.cl,CHL
base.cn,CHN
base.cx,CXR
base.cc,CCK
base.co,COL
base.km,COM
base.cg,COG
base.ck,COD
base.cr,COK
base.hr,CRI
base.cu,CIV
base.cw,HRV
base.cy,CUB
base.cz,CUW
base.ci,CY
base.cd,CZE
base.dk,DNK
base.dj,DJI
base.dm,DMA
base.do,DOM
base.ec,ECU
base.eg,EGY
base.sv,SLV
base.gq,GQ
base.er,ERI
base.ee,EST
base.et,ETH
base.fk,FLK
base.fo,FRO
base.fj,FJ
base.fi,FIN
base.fr,FRA
base.gf,GUF
base.pf,PYF
base.tf,ATF
base.ga,GAB
base.gm,GMB
base.ge,GEO
base.de,DEU
base.gh,GHA
base.gi,GIB
base.gr,GRC
base.gl,GRL
base.gd,GRD
base.gp,GLP
base.gu,GUM
base.gt,GTM
base.gg,GGY
base.gn,GIN
base.gw,GNB
base.gy,GUY
base.ht,HTI
base.hm,HMD
base.va,VAT
base.hn,HND
base.hk,HKG
base.hu,HUN
base.is,ISL
base.in,IND
base.id,IDN
base.ir,IRN
base.iq,IRQ
base.ie,IRL
base.im,IM
base.il,ISR
base.it,ITA
base.jm,JAM
base.jp,JPN
base.je,JE
base.jo,JOR
base.kz,KAZ
base.ke,KEN
base.ki,KI
base.kp,PRK
base.kr,KOR
base.xk,KR
base.kw,KWT
base.kg,KGZ
base.la,LAO
base.lv,LVA
base.lb,LBN
base.ls,LSO
base.lr,LBR
base.ly,LBY
base.li,LIE
base.lt,LTU
base.lu,LUX
base.mo,MAC
base.mk,MK
base.mg,MDG
base.mw,MWI
base.my,MYS
base.mv,MDV
base.ml,MLI
base.mt,MLT
base.mh,MHL
base.mq,MTQ
base.mr,MRT
base.mu,MUS
base.yt,YT
base.mx,MEX
base.fm,FSM
base.md,MDA
base.mc,MCO
base.mn,MNG
base.me,MNE
base.ms,MSR
base.ma,MAR
base.mz,MOZ
base.mm,MM
base.na,NAM
base.nr,NRU
base.np,NPL
base.nl,NLD
base.nc,NCL
base.nz,NZL
base.ni,NIC
base.ne,NER
base.ng,NGA
base.nu,NIU
base.nf,NFK
base.mp,MNP
base.no,NOR
base.om,OMN
base.pk,PAK
base.pw,PLW
base.ps,PS
base.pa,PAN
base.pg,PNG
base.py,PRY
base.pe,PER
base.ph,PHL
base.pn,PCN
base.pl,POL
base.pt,PRT
base.pr,PRI
base.qa,OAT
base.ro,REU
base.ru,ROU
base.rw,RUS
base.re,RWA
base.bl,BLM
base.sh,SHN
base.kn,KNA
base.lc,LCA
base.mf,MAF
base.pm,SPM
base.vc,VCT
base.ws,WS
base.sm,SMR
base.st,STP
base.sa,SAU
base.sn,SEN
base.rs,SRB
base.sc,SYC
base.sl,SLE
base.sg,SGP
base.sx,SXM
base.sk,SVK
base.si,SVN
base.sb,SB
base.so,SOM
base.za,ZAF
base.gs,GS
base.ss,SSD
base.es,ESP
base.lk,LKA
base.sd,SDN
base.sr,SUR
base.sj,SJM
base.sz,SWZ
base.se,SWE
base.ch,CHE
base.sy,SYR
base.tw,TWN
base.tj,TJK
base.tz,TZ
base.th,THA
base.tl,TLS
base.tg,TGO
base.tk,TKL
base.to,TON
base.tt,TTO
base.tn,TUN
base.tr,TUR
base.tm,TKM
base.tc,TCA
base.tv,TUV
base.um,UGA
base.ug,UKR
base.ua,ARE
base.ae,GBR
base.uk,UMI
base.us,USA
base.uy,URY
base.uz,UZB
base.vu,VUT
base.ve,VEN
base.vn,VNM
base.vg,VGB
base.vi,VIR
base.wf,WLF
base.eh,ESH
base.ye,YEM
base.zm,ZMB
base.zw,ZWE
