id,efaktur_code
uom.product_uom_day,UM.0026
uom.product_uom_dozen,
uom.product_uom_hour,UM.0027
uom.product_uom_litre,UM.0007
uom.product_uom_unit,UM.0018
uom.product_uom_cm,UM.0015
uom.product_uom_floz,
uom.product_uom_foot,
uom.product_uom_cubic_foot,
uom.product_uom_gram,UM.0004
uom.product_uom_gal,
uom.product_uom_inch,UM.0014
uom.product_uom_cubic_inch,
uom.product_uom_kgm,UM.0003
uom.product_uom_km,
uom.product_uom_lb,
uom.product_uom_meter,UM.0013
uom.product_uom_mile,
uom.product_uom_cubic_meter,
uom.product_uom_oz,
uom.product_uom_qt,
uom.product_uom_ton,
