ORISPL, $ Work Loss Days , $ Asthma Exacerbation ,Distance Score,Proximity to Retirement,group
3," $ 99,466 "," $ 7,864 ",0.0,Retiring,0
26," $ 55,850 "," $ 4,292 ",0.0,Retiring,0
59," $ 19,608 "," $ 1,573 ",0.33,Mid-Proximity,4
60," $ 65,042 "," $ 5,186 ",0.46,Low-Proximity,4
108," $ 71,685 "," $ 5,771 ",inf,Far from Retirement,5
113," $ 136,378 "," $ 10,848 ",0.0,Retiring,0
130," $ 245,053 "," $ 18,503 ",0.0,High Proximity,0
136," $ 222,437 "," $ 16,537 ",0.0,Retiring,0
160," $ 16,918 "," $ 1,360 ",0.0,High Proximity,0
165," $ 10,865 ", $ 861 ,0.0,High Proximity,3
298," $ 322,199 "," $ 26,243 ",0.0,Retiring,3
470," $ 212,967 "," $ 17,047 ",,,Unclustered
525," $ 76,070 "," $ 6,022 ",0.0,Retiring,2
564," $ 264,155 "," $ 18,867 ",0.0,Retiring,0
594," $ 26,762 "," $ 1,947 ",,,Unclustered
602," $ 145,280 "," $ 10,630 ",0.0,Retiring,0
628," $ 160,495 "," $ 11,743 ",0.0,High Proximity,0
645," $ 87,091 "," $ 6,297 ",0.0,High Proximity,0
667," $ 110,917 "," $ 8,202 ",,,Unclustered
703," $ 604,644 "," $ 46,749 ",inf,Far from Retirement,1
876," $ 126,929 "," $ 9,791 ",0.0,Retiring,2
879," $ 170,165 "," $ 13,180 ",0.0,Retiring,2
889," $ 176,168 "," $ 13,566 ",0.0,Retiring,2
963," $ 120,982 "," $ 9,351 ",,,Unclustered
976," $ 362,493 "," $ 27,943 ",0.0,High Proximity,2
983," $ 380,078 "," $ 28,906 ",0.38,Low-Proximity,4
994," $ 458,961 "," $ 35,403 ",0.33,Retiring,4
997," $ 48,810 "," $ 3,737 ",0.0,Retiring,4
1001," $ 254,264 "," $ 19,625 ",0.0,Retiring,4
1004,,,inf,Far from Retirement,5
1012," $ 106,093 "," $ 8,226 ",0.25,Mid-Proximity,4
1040," $ 57,309 "," $ 4,361 ",0.46,Low-Proximity,4
1073," $ 62,338 "," $ 4,872 ",0.33,Retiring,4
1082," $ 265,695 "," $ 21,037 ",0.25,Mid-Proximity,4
1091," $ 87,446 "," $ 6,951 ",0.75,Far from Retirement,4
1104," $ 245,315 "," $ 19,104 ",1.25,Far from Retirement,4
1167," $ 160,656 "," $ 12,521 ",0.33,Mid-Proximity,4
1241," $ 61,526 "," $ 4,917 ",inf,Far from Retirement,5
1250," $ 36,537 "," $ 2,896 ",0.0,Retiring,6
1355," $ 49,419 "," $ 3,700 ",0.0,Retiring,0
1356," $ 934,836 "," $ 71,195 ",0.0,High Proximity,3
1364," $ 992,368 "," $ 74,544 ",0.0,High Proximity,3
1379," $ 1,484,630 "," $ 115,055 ",0.0,High Proximity,3
1384," $ 8,887 ", $ 669 ,1.0,Far from Retirement,0
1554," $ 101,736 "," $ 7,455 ",,,Unclustered
1710," $ 440,992 "," $ 33,452 ",0.0,Retiring,6
1733," $ 374,200 "," $ 28,105 ",0.0,High Proximity,3
1832," $ 153,908 "," $ 11,617 ",0.0,Retiring,6
1893," $ 79,477 "," $ 6,089 ",0.0,High Proximity,6
1915," $ 175,183 "," $ 13,510 ",0.0,Retiring,6
1979,,,0.0,High Proximity,6
2079," $ 48,138 "," $ 3,824 ",0.33,Mid-Proximity,4
2103," $ 1,972,933 "," $ 153,621 ",0.25,Mid-Proximity,3
2107," $ 251,447 "," $ 19,525 ",0.0,Retiring,4
2167," $ 888,896 "," $ 68,939 ",0.33,Mid-Proximity,4
2168," $ 435,076 "," $ 34,185 ",0.25,Mid-Proximity,4
2240," $ 24,598 "," $ 1,974 ",0.46,Low-Proximity,4
2277," $ 85,298 "," $ 6,765 ",1.25,Far from Retirement,4
2291," $ 175,252 "," $ 13,916 ",0.46,Retiring,4
2364," $ 12,275 ", $ 871 ,0.0,High Proximity,0
2367," $ 10,968 ", $ 767 ,0.0,High Proximity,0
2442," $ 124,797 "," $ 10,040 ",,,Unclustered
2712," $ 330,819 "," $ 24,517 ",0.0,High Proximity,0
2718," $ 29,723 "," $ 2,231 ",0.0,Retiring,0
2721," $ 152,698 "," $ 11,444 ",0.0,High Proximity,0
2727," $ 485,626 "," $ 36,317 ",0.0,High Proximity,0
2817," $ 188,580 "," $ 14,759 ",inf,Far from Retirement,7
2823," $ 290,013 "," $ 22,687 ",inf,Far from Retirement,7
2828," $ 1,486,189 "," $ 106,776 ",0.25,Mid-Proximity,3
2832," $ 2,930,580 "," $ 226,162 ",0.5,Retiring,3
2876," $ 415,644 "," $ 30,773 ",0.0,High Proximity,4
2914,,,0.33,Mid-Proximity,4
2935,,,,,Unclustered
2936,,,0.0,High Proximity,4
2952," $ 114,928 "," $ 9,125 ",inf,Far from Retirement,5
2963," $ 256,529 "," $ 20,341 ",1.08,Retiring,4
3118," $ 473,813 "," $ 34,603 ",0.0,High Proximity,3
3122," $ 682,587 "," $ 49,865 ",0.0,High Proximity,3
3130," $ 493,414 "," $ 36,032 ",2.0,Far from Retirement,0
3136," $ 1,613,879 "," $ 117,662 ",0.25,Mid-Proximity,3
3140," $ 285,653 "," $ 20,907 ",0.0,Retiring,0
3149," $ 146,709 "," $ 10,717 ",0.0,Retiring,0
3297," $ 67,749 "," $ 5,132 ",0.0,High Proximity,0
3298," $ 55,062 "," $ 4,158 ",0.33,Mid-Proximity,4
3399," $ 545,278 "," $ 41,808 ",0.0,Retiring,3
3403," $ 135,881 "," $ 10,374 ",0.0,Retiring,4
3407," $ 163,436 "," $ 12,291 ",0.0,Retiring,4
3470," $ 1,395,087 "," $ 117,384 ",0.5,Low-Proximity,3
3845," $ 292,869 "," $ 21,619 ",0.0,Retiring,2
3935," $ 304,210 "," $ 22,440 ",0.0,High Proximity,4
3943," $ 574,918 "," $ 41,856 ",0.25,Mid-Proximity,4
3944," $ 1,244,566 "," $ 91,261 ",0.25,Mid-Proximity,3
3948," $ 188,124 "," $ 13,789 ",0.25,Mid-Proximity,4
3954," $ 257,727 "," $ 18,972 ",0.25,Mid-Proximity,4
4041,,,0.0,Retiring,6
4050," $ 25,014 "," $ 1,912 ",0.0,Retiring,6
4078," $ 52,047 "," $ 3,997 ",0.0,High Proximity,6
4158," $ 375,701 "," $ 30,288 ",0.25,Retiring,4
4162," $ 244,834 "," $ 19,893 ",0.25,Retiring,4
4271," $ 59,000 "," $ 4,545 ",0.0,High Proximity,6
6002," $ 134,351 "," $ 10,339 ",0.0,High Proximity,3
6009," $ 998,902 "," $ 78,695 ",0.0,Retiring,3
6017," $ 366,945 "," $ 28,283 ",0.0,Retiring,2
6018," $ 278,328 "," $ 21,169 ",1.58,Far from Retirement,4
6021," $ 247,063 "," $ 19,850 ",0.0,Retiring,2
6030," $ 481,889 "," $ 37,670 ",inf,Far from Retirement,7
6034," $ 1,051,545 "," $ 78,450 ",0.0,Retiring,3
6041," $ 272,740 "," $ 20,350 ",0.92,Far from Retirement,4
6055," $ 149,349 "," $ 12,111 ",0.0,High Proximity,0
6064," $ 35,795 "," $ 2,853 ",0.33,Mid-Proximity,4
6065," $ 100,449 "," $ 8,019 ",0.33,Mid-Proximity,4
6068," $ 96,607 "," $ 7,776 ",inf,Far from Retirement,5
6071," $ 386,528 "," $ 29,421 ",0.67,Low-Proximity,4
6073," $ 21,542 "," $ 1,710 ",0.0,Retiring,0
6076," $ 505,657 "," $ 39,632 ",0.25,Mid-Proximity,4
6077," $ 591,430 "," $ 47,204 ",0.25,Mid-Proximity,4
6085," $ 225,819 "," $ 17,499 ",0.0,Retiring,4
6090," $ 720,682 "," $ 55,817 ",0.0,Retiring,6
6095," $ 46,346 "," $ 3,726 ",0.92,Far from Retirement,4
6096," $ 307,247 "," $ 24,421 ",0.25,Mid-Proximity,4
6098," $ 37,685 "," $ 2,956 ",0.63,Low-Proximity,4
6101," $ 97,293 "," $ 7,826 ",0.25,Retiring,4
6113," $ 758,504 "," $ 58,582 ",0.0,High Proximity,3
6138," $ 69,407 "," $ 5,474 ",inf,Far from Retirement,5
