vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,class,object_type
{},2025-10-16 00:03:22,False,,,1,main_consent,1,2025-10-16 00:03:22,2025-10-16 00:03:28,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-16 00:03:28,False,,,3,main_consent,2,2025-10-16 00:03:28,,,True,False,False,ModuleState,ModuleState,ModuleState
{},2025-10-16 00:05:02,False,,,5,feedback,1,2025-10-16 00:05:02,2025-10-16 00:05:18,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-16 00:09:00,False,,,6,main_consent,3,2025-10-16 00:09:00,2025-10-16 00:12:06,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-16 00:09:23,False,,,7,main_consent,4,2025-10-16 00:09:23,2025-10-16 00:09:24,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-16 00:10:59,False,,,10,main_consent,5,2025-10-16 00:10:59,2025-10-16 00:12:03,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-16 00:11:27,False,,,11,feedback,4,2025-10-16 00:11:27,2025-10-16 00:11:57,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-16 00:14:20,False,,,15,feedback,3,2025-10-16 00:14:20,2025-10-16 00:14:55,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-16 00:16:33,False,,,17,feedback,5,2025-10-16 00:16:33,2025-10-16 00:17:36,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-16 00:20:33,False,,,18,main_consent,6,2025-10-16 00:20:33,2025-10-16 00:20:40,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-16 00:23:49,False,,,21,feedback,6,2025-10-16 00:23:49,2025-10-16 00:24:09,,True,True,False,ModuleState,ModuleState,ModuleState
